,Entry_date,DeltaT,Center,Size
0,2015-02-17 11:21:41,9885.0,"(45.78195479226339, 4.87249764041156)",16784
1,2015-02-17 15:05:53,3763.0,"(45.78185286516774, 4.872669160500552)",7298
2,2015-02-17 16:11:04,18480.0,"(45.780766106115856, 4.876936800323993)",4115
3,2015-02-17 21:19:26,8210.0,"(45.7807538521279, 4.876982326809615)",2146
4,2015-02-17 23:36:17,5462.0,"(45.78068953187339, 4.876955596664881)",7676
5,2015-02-18 01:32:22,12606.0,"(45.78079715128417, 4.877105067608206)",24356
6,2015-02-18 05:02:39,4465.0,"(45.78076979402029, 4.877078398855314)",8852
7,2015-02-18 08:08:49,8037.0,"(45.78179031014523, 4.872509805372)",15885
8,2015-02-18 11:13:03,5919.0,"(45.780752820228976, 4.8769315647016915)",7617
9,2015-02-18 12:54:13,3941.0,"(45.78179347746532, 4.8725068631086765)",7551
10,2015-02-18 17:08:11,5009.0,"(45.78083799202303, 4.877087991559924)",7188
11,2015-02-18 18:32:53,7025.0,"(45.78079168622231, 4.877043074657238)",6733
12,2015-02-18 21:18:46,3933.0,"(45.78091126410463, 4.877138999695051)",2186
13,2015-02-18 22:57:59,4491.0,"(45.780849066056, 4.876914648903705)",7206
14,2015-02-19 01:19:47,9171.0,"(45.78080297655957, 4.877023931529297)",18032
15,2015-02-19 03:54:10,5885.0,"(45.780826347778984, 4.877202090487803)",11007
16,2015-02-19 05:32:16,14639.0,"(45.780781364447435, 4.876977975566303)",27844
17,2015-02-19 09:40:54,4792.0,"(45.78081330925605, 4.876994120296056)",7476
18,2015-02-19 11:01:12,5538.0,"(45.780790690511154, 4.876928101323962)",10876
19,2015-02-19 13:11:58,4730.0,"(45.78243473086099, 4.872082845458913)",7010
20,2015-02-19 15:22:45,11871.0,"(45.780755309668095, 4.8768931143000955)",1324
21,2015-02-19 20:41:23,55418.0,"(46.0763758915598, 4.656657287626118)",110697
22,2015-02-20 12:05:02,20201.0,"(46.076373070693464, 4.656632577375225)",40302
23,2015-02-20 18:54:45,71334.0,"(46.07639994414495, 4.656651577381638)",137554
24,2015-02-21 16:43:36,10418.0,"(46.07635927691397, 4.65656652616844)",18126
25,2015-02-21 19:40:17,12179.0,"(46.076419390588704, 4.656591442593868)",21972
26,2015-02-21 23:04:07,57766.0,"(46.07638853743988, 4.656643563551035)",109788
27,2015-02-22 16:37:41,6018.0,"(45.780832435943815, 4.877082532990208)",11266
28,2015-02-22 18:19:08,3697.0,"(45.780782142222264, 4.876965749629658)",2250
29,2015-02-22 19:22:33,6882.0,"(45.78074928522293, 4.876898814432982)",1940
30,2015-02-22 21:23:07,29699.0,"(45.780776310192415, 4.877057574442827)",3918
31,2015-02-23 09:38:07,5179.0,"(45.781741069271646, 4.872583728645804)",6400
32,2015-02-23 13:40:32,5728.0,"(45.78179504170015, 4.872403498769466)",4876
33,2015-02-23 15:21:15,13441.0,"(45.780793422774316, 4.877098620566213)",6522
34,2015-02-23 19:07:21,5570.0,"(45.78112546296297, 4.87814939814815)",72
35,2015-02-23 20:46:45,17609.0,"(45.780813881151325, 4.876965571030643)",718
36,2015-02-24 01:40:53,13289.0,"(45.78078610527209, 4.877115234717105)",7612
37,2015-02-24 05:22:23,5152.0,"(45.78072580834236, 4.876971347811079)",1934
38,2015-02-24 07:23:08,5684.0,"(45.78172641683342, 4.872651400177645)",3002
39,2015-02-24 08:57:53,3978.0,"(45.78172706371506, 4.872305039821976)",2846
40,2015-02-24 11:28:17,4838.0,"(45.78075535392547, 4.876822129987114)",1036
41,2015-02-24 13:19:22,8736.0,"(45.78184087469671, 4.872625007721204)",3022
42,2015-02-24 17:43:42,29784.0,"(45.78078325220694, 4.877122867919138)",7026
43,2015-02-25 02:07:11,9550.0,"(45.78083127209603, 4.877106128697635)",7392
44,2015-02-25 08:13:06,6004.0,"(45.781724508493454, 4.872513785853531)",2394
45,2015-02-25 14:13:46,6506.0,"(45.781644901551, 4.872255448488393)",3352
46,2015-02-25 16:24:36,26912.0,"(45.78078571222597, 4.877031578719745)",2312
47,2015-02-25 23:53:09,4982.0,"(45.78072970823038, 4.877125915221581)",2422
48,2015-02-26 01:17:24,49209.0,"(45.78079929739458, 4.877101859173867)",10926
49,2015-02-26 17:13:05,82502.0,"(46.07637602230949, 4.6566709877838885)",33943
50,2015-02-27 17:45:45,4864.0,"(46.108255157357924, 4.7373850953014145)",1504
51,2015-02-27 21:38:08,70177.0,"(46.07638318770924, 4.656656018800624)",32162
52,2015-02-28 22:03:52,68655.0,"(46.076391133570866, 4.656647411516999)",36410
53,2015-03-01 18:59:32,22279.0,"(45.78106595061731, 4.87727280246915)",270
54,2015-03-02 01:10:52,6429.0,"(45.78081651759301, 4.877015943518474)",7200
55,2015-03-02 02:58:16,9066.0,"(45.78080644500508, 4.877151001238867)",7534
56,2015-03-02 07:32:53,7481.0,"(45.78180756060586, 4.87239830050506)",2640
57,2015-03-02 15:56:00,8827.0,"(45.78081722135993, 4.877076209594008)",5156
58,2015-03-02 20:35:41,15387.0,"(45.78076539717194, 4.877153660381558)",5728
59,2015-03-03 00:52:40,13881.0,"(45.78077828232172, 4.87702669565844)",9083
60,2015-03-03 04:47:42,7525.0,"(45.78078136881704, 4.8772033387096405)",3100
61,2015-03-03 08:43:40,9496.0,"(45.7818614198503, 4.872528177033991)",6334
62,2015-03-03 13:13:54,5966.0,"(45.78177414145734, 4.872453900669203)",7074
63,2015-03-03 16:26:45,6712.0,"(45.780778099826684, 4.8771127847788)",2698
64,2015-03-03 18:19:02,6355.0,"(45.78072579121547, 4.877008375451274)",1108
65,2015-03-03 20:04:58,31274.0,"(45.78074240460432, 4.8770185250038125)",11365
66,2015-03-04 04:46:13,8055.0,"(45.78074138065261, 4.876969515018123)",10454
67,2015-03-04 07:30:46,5010.0,"(45.78178075203257, 4.8723484421329335)",2788
68,2015-03-04 10:44:41,8455.0,"(45.78183738825021, 4.872522683588772)",2088
69,2015-03-04 13:05:58,3730.0,"(45.781868880407075, 4.8724374427480885)",262
70,2015-03-04 14:08:44,4591.0,"(45.78162196087296, 4.872306724910379)",4464
71,2015-03-04 21:04:03,12007.0,"(45.780596969365426, 4.87666777534645)",914
72,2015-03-05 00:42:14,19757.0,"(45.78078222287491, 4.877059070696603)",13598
73,2015-03-05 06:11:51,22656.0,"(45.78068082302467, 4.876790071110058)",7922
74,2015-03-05 12:30:30,13057.0,"(45.78078244942865, 4.877085384784477)",1516
75,2015-03-05 18:08:08,16510.0,"(46.07645038562325, 4.656641338027709)",10295
76,2015-03-05 22:48:10,209749.0,"(46.0763873857928, 4.656645511676493)",93829
77,2015-03-08 12:58:43,10339.0,"(46.07636226028568, 4.656672290076194)",10349
78,2015-03-09 07:28:33,13206.0,"(45.781706563012015, 4.87216060939786)",7718
79,2015-03-09 12:51:58,12265.0,"(45.7814756466877, 4.873461819137761)",634
80,2015-03-09 16:20:12,4802.0,"(45.78084624972041, 4.877176994346531)",8962
81,2015-03-10 07:47:22,4792.0,"(45.781750059523795, 4.872784970238098)",112
82,2015-03-10 17:01:33,35314.0,"(45.780807027984274, 4.877201027216046)",3907
83,2015-03-11 02:50:08,4803.0,"(45.780816017456026, 4.877302982984735)",5309
