,Entry_date,DeltaT,Center,Size,Week_day,day,TotalDeltaT,TotalSize,Place Category
0,2014-12-09 11:39:33,15766.0,"(45.78615211146714, 4.879963306021044)",8116,1,1,15766.0,8116,Workplace
1,2015-02-11 21:55:14,319956.0,"(34.42413234367365, 35.8475214278681)",4062,2,2,319956.0,4062,Living Place
