,Entry_date,DeltaT,Center,Size,Week_day,day,TotalDeltaT,TotalSize,Place Category
0,2015-03-04 10:59:18,29015.0,"(45.6319795455223, 5.146343601017873)",32843,2,2,29015.0,32843,Workplace
1,2015-03-04 21:00:20,52002.0,"(45.63209696014463, 5.146367503140487)",95047,2,2,52002.0,95047,Living Place
