,Entry_date,DeltaT,Center,Size
0,2015-03-05 12:48:55,7500.0,"(45.78082588410426, 4.872665323734465)",15002
1,2015-03-05 16:26:19,27048.0,"(45.78477903566567, 4.871832132768401)",48237
2,2015-03-05 23:57:57,25145.0,"(45.784767758096535, 4.871854807237483)",50148
3,2015-03-06 06:58:50,11099.0,"(45.782299365532005, 4.872176490450796)",18396
4,2015-03-06 12:37:27,5204.0,"(45.78239761031214, 4.87215567499215)",10410
5,2015-03-06 18:54:53,3779.0,"(48.87759336460321, 2.170067536637721)",7142
6,2015-03-06 23:20:53,5472.0,"(48.877782511337685, 2.1703152815570674)",1764
7,2015-03-07 00:52:40,10719.0,"(48.87772494739852, 2.1702627865734097)",19454
8,2015-03-07 03:52:44,5299.0,"(48.87765291526893, 2.170057501935492)",7750
9,2015-03-07 05:25:35,3667.0,"(48.87767583929586, 2.1701848797304337)",6430
10,2015-03-07 06:28:42,8565.0,"(48.8776942801465, 2.1700475628152365)",14540
11,2015-03-07 09:05:59,3675.0,"(48.877590686602765, 2.1697202065390644)",4180
12,2015-03-07 10:15:46,4655.0,"(48.877822985898455, 2.169934128346603)",3262
13,2015-03-07 11:34:51,18610.0,"(48.87789730374258, 2.1701938403821694)",20547
14,2015-03-07 16:45:26,8740.0,"(48.87788220248728, 2.170106713583631)",8952
15,2015-03-07 19:11:59,8773.0,"(48.87785907040695, 2.170131062293764)",4848
16,2015-03-07 21:38:13,3972.0,"(48.87790253612739, 2.17015879335258)",2768
17,2015-03-07 22:46:52,12027.0,"(48.87796858014876, 2.170149930997879)",1256
18,2015-03-08 02:08:46,15824.0,"(48.87792808774622, 2.1702375055960776)",20848
19,2015-03-08 06:32:31,5504.0,"(48.877813070100544, 2.1701251257391894)",9358
20,2015-03-08 08:04:16,4169.0,"(48.87788349081885, 2.170197217573218)",5736
21,2015-03-08 09:15:13,6073.0,"(48.877906156536, 2.170198010353094)",7534
22,2015-03-08 11:19:38,16545.0,"(48.87777114171846, 2.170231990971901)",19421
23,2015-03-08 21:30:26,7740.0,"(45.78480771782566, 4.87184223644713)",15310
24,2015-03-08 23:39:27,26371.0,"(45.78477521577748, 4.871837407786273)",52740
25,2015-03-09 07:39:38,3863.0,"(45.78201917986571, 4.872948282843731)",6503
26,2015-03-09 08:45:16,4210.0,"(45.782157610162734, 4.873284835697451)",8389
27,2015-03-09 09:55:27,3735.0,"(45.7819809912556, 4.87315863534973)",7472
28,2015-03-09 10:57:43,87648.0,"(45.782238806381045, 4.87281977683484)",4242
