,Entry_date,DeltaT,Center,Size
0,2015-03-06 13:04:36,5130.0,"(45.78245447553169, 4.872097151491514)",10258
1,2015-03-06 20:10:47,3832.0,"(44.894911939163585, 6.636604689480358)",526
2,2015-03-06 21:40:12,10606.0,"(44.895608753245384, 6.63652569985325)",2953
3,2015-03-07 02:05:22,15295.0,"(44.89532203265974, 6.636449733166227)",30356
4,2015-03-07 06:21:34,5039.0,"(44.895453733797865, 6.636496461970894)",10080
5,2015-03-07 07:53:34,4743.0,"(44.8955744727047, 6.636588268362194)",8414
6,2015-03-07 09:13:39,4052.0,"(44.895542937215964, 6.636459396943271)",8070
7,2015-03-07 12:42:32,6681.0,"(44.89563543059186, 6.636528259711412)",3441
8,2015-03-07 16:13:26,6525.0,"(44.895446372206315, 6.636448420728914)",12186
9,2015-03-07 18:14:39,6598.0,"(44.89519956851105, 6.636455891071209)",12932
10,2015-03-07 20:06:07,4598.0,"(44.895249643984634, 6.636488859469729)",7818
11,2015-03-07 22:03:26,5338.0,"(44.89549087119641, 6.63655271093022)",9948
12,2015-03-07 23:42:32,5471.0,"(44.8954541641659, 6.636474892127255)",9332
13,2015-03-08 01:16:24,3745.0,"(44.895525722015336, 6.636464269222916)",6468
14,2015-03-08 02:58:47,3676.0,"(44.895450745627684, 6.636432902884575)",5986
15,2015-03-08 04:23:39,6623.0,"(44.89534082357319, 6.636406872762018)",12381
16,2015-03-08 06:15:30,7296.0,"(44.89538489509509, 6.63650433377257)",12138
17,2015-03-08 08:22:01,3804.0,"(44.89561197222971, 6.636602210194546)",7298
18,2015-03-08 09:43:55,5124.0,"(44.895210820423, 6.636472238173937)",9682
19,2015-03-08 20:04:33,38883.0,"(45.76268882139813, 4.867289877000776)",5935
20,2015-03-09 07:03:09,4187.0,"(45.782445184864656, 4.872563476727151)",8078
21,2015-03-09 08:12:57,10264.0,"(45.7826452730944, 4.872488455177321)",20518
22,2015-03-09 15:42:12,4984.0,"(45.7701602754986, 4.805384904259444)",1706
23,2015-03-09 17:22:44,30167.0,"(45.762837067197985, 4.866945248671224)",1756
24,2015-03-10 02:16:04,9564.0,"(45.76268947303523, 4.867223004883246)",15700
25,2015-03-10 04:58:06,8218.0,"(45.76264414657931, 4.867100102507965)",13690
26,2015-03-10 07:37:13,4368.0,"(45.762681458048114, 4.866946809735552)",5848
27,2015-03-10 08:53:47,5228.0,"(45.762702677224105, 4.867265721332259)",8177
28,2015-03-10 10:57:25,10848.0,"(45.762710272049716, 4.8670559267730225)",15518
29,2015-03-10 17:52:05,4277.0,"(45.762794617552785, 4.867261082930788)",828
30,2015-03-10 19:05:09,5231.0,"(45.76289332639869, 4.86707094313456)",1442
31,2015-03-10 21:02:04,4129.0,"(45.76281968368308, 4.867006457389953)",4858
