,Entry_date,DeltaT,Center,Size
0,2015-02-17 11:19:45,4619.0,"(45.782094730316345, 4.872478306086983)",8992
1,2015-02-17 12:37:34,5102.0,"(45.7819324091393, 4.872619440904079)",10043
2,2015-02-17 14:03:11,3653.0,"(45.7818350030159, 4.872874698039224)",5525
3,2015-02-17 15:13:41,7664.0,"(45.780954013317896, 4.877033824001278)",13716
4,2015-02-17 17:21:50,7951.0,"(45.7809396272623, 4.877030118736972)",15328
5,2015-02-17 19:47:50,8828.0,"(45.783877249854825, 4.873716679173989)",13592
6,2015-02-17 22:41:52,17789.0,"(45.78097066402165, 4.877028543680318)",10966
7,2015-02-18 03:45:38,8559.0,"(45.780926031895625, 4.8769690153463605)",16334
8,2015-02-18 06:58:47,11602.0,"(45.78180743095899, 4.872765938213147)",22788
9,2015-02-18 13:00:38,9899.0,"(45.781846501761166, 4.8727601919951296)",19688
10,2015-02-18 16:00:35,6648.0,"(45.7808814644073, 4.877008739741119)",9707
11,2015-02-18 17:54:43,5480.0,"(45.780959197413154, 4.877073763962542)",8863
12,2015-02-18 20:04:00,7814.0,"(45.780883907608874, 4.876843553675791)",14659
13,2015-02-18 22:30:11,9821.0,"(45.78086164166583, 4.876888563256417)",16665
14,2015-02-19 01:18:14,9477.0,"(45.780906117825815, 4.876938716045787)",17045
15,2015-02-19 03:56:19,6948.0,"(45.78096487770809, 4.877047493232881)",13792
16,2015-02-19 05:52:24,4539.0,"(45.78095317711858, 4.876976036970885)",8962
17,2015-02-19 08:07:48,5069.0,"(45.78088044961946, 4.876824770064442)",2276
18,2015-02-19 09:42:01,5023.0,"(45.78082133557785, 4.876564099326609)",1188
19,2015-02-19 11:06:43,8386.0,"(45.78090318460308, 4.87681508705147)",15240
20,2015-02-19 13:27:25,4288.0,"(45.78080762034127, 4.876501665601709)",6260
21,2015-02-19 14:39:33,6452.0,"(45.780938877715315, 4.876976787455674)",12032
22,2015-02-19 16:27:37,5626.0,"(45.780955786167816, 4.876967857823124)",11202
23,2015-02-19 18:30:04,4668.0,"(45.76226587053566, 4.83571392857143)",448
24,2015-02-20 00:08:27,3619.0,"(45.78085937152123, 4.876972657119541)",6529
25,2015-02-20 01:34:26,20684.0,"(45.7809420798939, 4.876963416258121)",40579
26,2015-02-20 08:32:15,6824.0,"(45.78308199904395, 4.872005496250958)",13649
27,2015-02-20 11:03:37,9585.0,"(45.78284962149769, 4.871452176437912)",19172
28,2015-02-23 01:24:04,7913.0,"(45.780943268954886, 4.877096017524796)",14912
29,2015-02-23 03:36:41,5595.0,"(45.780945010573696, 4.8770584582341545)",10088
