,Entry_date,DeltaT,Center,Size
0,2015-03-05 12:09:54,5535.0,"(45.78468571935796, 4.872401927292352)",6478
1,2015-03-05 13:50:48,4701.0,"(45.78462245380592, 4.872218561359263)",5935
2,2015-03-05 15:37:20,4190.0,"(45.78452890023861, 4.872251583767807)",7097
3,2015-03-06 13:50:34,3725.0,"(45.78459947905394, 4.872289549389156)",6469
4,2015-03-06 15:29:02,4644.0,"(45.78459474614577, 4.872279037431815)",7222
5,2015-03-06 17:23:01,15210.0,"(45.78467063178186, 4.872235882303374)",29678
6,2015-03-06 21:37:33,94282.0,"(45.78463484285729, 4.872179528204311)",13544
7,2015-03-08 00:11:37,3763.0,"(45.78451216171558, 4.872262925948773)",6464
8,2015-03-08 01:16:23,11802.0,"(45.78461630162901, 4.872288023626735)",23194
9,2015-03-08 05:14:22,18249.0,"(45.784620434078, 4.872198409370866)",35969
10,2015-03-08 10:25:23,9198.0,"(45.78464743187819, 4.872262774573237)",17163
11,2015-03-08 15:12:53,3741.0,"(45.761883273381294, 4.857043177458031)",1668
12,2015-03-08 19:14:09,3699.0,"(45.784679676863696, 4.872303888971162)",6767
13,2015-03-08 20:15:49,4477.0,"(45.784577971705986, 4.872280584051978)",8812
14,2015-03-08 21:42:11,7442.0,"(45.78459708026304, 4.872233148331849)",14108
15,2015-03-09 00:38:40,5058.0,"(45.784663977694855, 4.8724318619178355)",9953
16,2015-03-09 02:03:25,14758.0,"(45.78466288717805, 4.872306296600693)",29220
17,2015-03-09 09:17:05,6369.0,"(45.782024647430184, 4.872718465794802)",10934
18,2015-03-09 17:42:59,11887.0,"(45.78468840985511, 4.872161500074381)",22390
19,2015-03-09 21:43:34,4988.0,"(45.78462723015036, 4.872233566666605)",8900
20,2015-03-10 00:04:03,5026.0,"(45.784623260844036, 4.872258616274957)",8553
21,2015-03-10 01:57:34,18057.0,"(45.7846064958553, 4.872203798860585)",35458
22,2015-03-10 09:17:38,6278.0,"(45.7819592832671, 4.87317371946836)",12064
23,2015-03-10 11:13:37,5815.0,"(45.784675900987104, 4.872224555168391)",11480
24,2015-03-10 12:52:06,13755.0,"(45.78471338695841, 4.8721611068210535)",15540
25,2015-03-10 17:36:30,3891.0,"(45.785575108059, 4.883541216117251)",1820
26,2015-03-10 19:03:16,10601.0,"(45.78470647348093, 4.872138730539735)",9999
27,2015-03-10 22:04:25,5515.0,"(45.78461689679674, 4.8721314451879545)",8669
28,2015-03-10 23:37:01,6733.0,"(45.78464951958676, 4.872165903453835)",11504
29,2015-03-11 01:58:59,8564.0,"(45.78468523409625, 4.8721460099157845)",16909
