,Entry_date,DeltaT,Center,Size
0,2014-11-27 20:24:51,3620.0,"(45.78202788631334, 4.872659663079524)",6040
1,2014-11-27 21:27:27,4982.0,"(45.7820562073428, 4.872645024118014)",9260
2,2014-11-27 22:51:16,5186.0,"(45.78205288129281, 4.872677672825943)",7739
3,2014-11-28 01:54:25,6207.0,"(45.77728585054625, 4.862170882003746)",5616
4,2014-11-28 09:02:45,6899.0,"(44.808181957570326, -0.5963051391514369)",6348
5,2014-11-28 12:57:20,15439.0,"(44.80822464618256, -0.596678904407202)",537
6,2014-11-29 09:04:56,10516.0,"(44.841261207836276, -0.6150735888795185)",20029
7,2014-11-29 15:51:17,4481.0,"(45.1869059891987, 5.722030299412563)",7036
8,2014-11-29 18:09:02,4530.0,"(45.174279391230336, 5.798920020230994)",9062
9,2014-11-29 19:24:33,10911.0,"(45.174245961862084, 5.7989434762683665)",14692
10,2014-11-29 22:45:36,7389.0,"(45.1870010818713, 5.721039135802477)",513
11,2014-11-30 00:52:24,69245.0,"(45.18678809337174, 5.722169285887718)",16461
12,2014-11-30 20:07:42,7125.0,"(45.18676099936271, 5.722095369898887)",9426
13,2014-11-30 22:07:55,14223.0,"(45.18680905039146, 5.722189277909876)",9274
14,2014-12-01 02:17:31,4484.0,"(45.1869303137155, 5.722207490263968)",4622
15,2014-12-01 09:44:33,7245.0,"(45.78200958279564, 4.872744887739904)",13926
16,2014-12-01 11:47:14,3838.0,"(45.782060348023464, 4.872708782208221)",5718
17,2014-12-01 12:51:20,3972.0,"(45.78216556643842, 4.872643104799284)",4084
18,2014-12-01 13:57:55,5119.0,"(45.78227365650403, 4.872537626016265)",820
19,2014-12-01 15:57:38,4843.0,"(45.78196439051193, 4.8726667970467865)",6366
20,2014-12-01 20:24:00,5563.0,"(45.78205199150602, 4.872664472495662)",8635
21,2014-12-01 21:58:53,6261.0,"(45.782033298428686, 4.872567398624277)",9741
22,2014-12-01 23:50:50,3902.0,"(45.77729410519974, 4.861635246540451)",2481
23,2014-12-02 01:56:56,8914.0,"(45.777266146416856, 4.861531471847243)",6074
24,2014-12-02 04:25:56,3656.0,"(45.77729609302275, 4.8619684786822)",6880
25,2014-12-02 05:35:57,5337.0,"(45.77714301891783, 4.861684467092927)",7506
26,2014-12-02 07:30:47,6119.0,"(45.78198210656766, 4.8724703421451645)",4842
27,2014-12-03 15:57:43,3889.0,"(45.781710962167885, 4.872788884436459)",7736
28,2014-12-03 17:02:56,6280.0,"(45.781866822594274, 4.872510240603049)",9684
29,2014-12-03 19:58:04,3914.0,"(45.781903919162595, 4.8723241763975205)",5909
30,2014-12-03 21:42:07,5123.0,"(45.78197962219353, 4.872548199031283)",7570
31,2014-12-03 23:10:16,3799.0,"(45.78200482274319, 4.872519414144229)",7334
32,2014-12-09 10:32:05,4235.0,"(44.84263617799731, -0.5753658577274126)",8472
33,2014-12-09 11:42:41,20399.0,"(44.84262347931865, -0.5754439073373204)",39901
34,2014-12-09 17:38:06,16881.0,"(44.834659402852026, -0.5640775757575746)",374
35,2014-12-09 22:21:30,6678.0,"(44.835289952651436, -0.567327272727273)",352
36,2014-12-10 00:47:43,8654.0,"(44.84259601174874, -0.5754984603459851)",12256
37,2014-12-10 03:11:58,3992.0,"(44.84256048867342, -0.5754855158329375)",7916
38,2014-12-10 18:39:40,11126.0,"(44.84018540504636, -0.5715742762284246)",502
39,2014-12-10 22:41:40,5096.0,"(44.84112486559147, -0.5732524731182791)",124
40,2014-12-11 00:18:36,20802.0,"(44.84260008006412, -0.5754874332070952)",25876
41,2014-12-11 06:05:34,7791.0,"(44.84257666527009, -0.5754438725963706)",15515
42,2014-12-11 08:15:26,3727.0,"(44.842685051345136, -0.5754653326063237)",7336
43,2014-12-11 09:33:02,21632.0,"(44.84982354735367, -0.5713113845102501)",7803
44,2014-12-11 15:44:01,5073.0,"(44.84263848156845, -0.5754773841433252)",7387
45,2015-02-10 14:35:56,3724.0,"(45.78199905779784, 4.872487841073562)",4608
46,2015-02-10 21:06:36,3616.0,"(45.77725015438913, 4.861911910013233)",2267
47,2015-02-10 22:14:25,5236.0,"(45.77715206196586, 4.860675833333335)",312
48,2015-02-10 23:41:42,4065.0,"(45.777316007312926, 4.861806525123854)",2826
49,2015-02-11 01:05:22,4257.0,"(45.77714130557524, 4.861565117619392)",2834
50,2015-02-11 02:23:53,5591.0,"(45.7771938583992, 4.861753912959789)",10386
51,2015-02-11 05:40:34,4767.0,"(45.77716523915669, 4.861674413511518)",3143
52,2015-02-11 08:10:09,8629.0,"(45.78202479415163, 4.872611667348358)",14671
53,2015-02-11 12:02:09,3839.0,"(45.77722045687264, 4.861642358540167)",5078
54,2015-02-11 16:32:27,5847.0,"(45.77725380528857, 4.8617977753981)",10739
55,2015-02-11 20:27:03,4056.0,"(45.777199787738816, 4.861604230473292)",2599
56,2015-02-11 21:45:17,7673.0,"(45.7771907362732, 4.862017340543473)",2404
57,2015-02-12 00:29:50,4667.0,"(45.777179031086874, 4.861795036305879)",2938
58,2015-02-12 02:41:53,7523.0,"(45.77724992180063, 4.861484809541289)",13555
59,2015-02-12 05:22:14,6665.0,"(45.77724186583735, 4.861816678441086)",10050
60,2015-02-12 07:56:56,9501.0,"(45.7819116515381, 4.872736206757385)",3305
61,2015-02-12 11:51:17,7804.0,"(45.78189218147922, 4.8727400138686585)",10936
62,2015-02-12 16:58:00,9814.0,"(45.77721792417332, 4.861767789883862)",18815
63,2015-02-12 19:44:17,15135.0,"(45.7772100251939, 4.86151037726098)",2580
64,2015-02-13 00:43:44,3663.0,"(45.77753350803794, 4.862226729002632)",4064
65,2015-02-13 17:13:57,6776.0,"(45.77721126803088, 4.8617292182169844)",11623
66,2015-02-13 23:11:30,5373.0,"(45.77729528608478, 4.861602100451697)",9298
67,2015-02-14 02:21:21,4368.0,"(45.77711540149071, 4.861528666051958)",8676
68,2015-02-14 03:36:48,48195.0,"(45.77736045073375, 4.8607973480083855)",318
69,2015-02-14 23:33:54,6852.0,"(45.77715468223788, 4.861788084075955)",12116
70,2015-02-15 02:32:20,6410.0,"(45.77720095418685, 4.861843387105304)",12646
71,2015-02-15 04:20:41,5075.0,"(45.77724986364466, 4.861878492413744)",9974
72,2015-02-15 05:45:17,5309.0,"(45.77729403791628, 4.861911508989539)",10401
73,2015-02-15 08:32:33,7087.0,"(45.782172391202124, 4.87264977064221)",2834
74,2015-02-15 10:30:41,6423.0,"(45.78206077386765, 4.872412386770941)",2046
75,2015-02-15 12:18:07,6256.0,"(45.78206077207324, 4.872577386231015)",1714
76,2015-02-15 15:06:06,8268.0,"(45.782044399456296, 4.872547569746381)",1840
77,2015-02-15 18:00:57,4481.0,"(45.777241995321255, 4.861662801173466)",4488
78,2015-02-16 15:32:24,6597.0,"(45.78204950580535, 4.8725905318280045)",5713
79,2015-02-16 18:46:14,11247.0,"(45.76029446241646, 4.8477693313715156)",22257
80,2015-02-16 22:30:07,3891.0,"(45.777592186629505, 4.8616316945218205)",718
81,2015-02-17 01:06:47,12116.0,"(45.7772733004071, 4.861644201915923)",24043
82,2015-02-17 04:31:18,9503.0,"(45.7772584596633, 4.861681163373892)",18879
83,2015-02-17 18:04:54,3611.0,"(45.781986411743105, 4.872499770844841)",5433
84,2015-02-17 19:11:08,6084.0,"(45.781948326363796, 4.872376950221958)",9087
85,2015-02-17 22:57:50,6857.0,"(45.77756644670053, 4.862072005076141)",197
86,2015-02-18 02:14:15,6620.0,"(45.77726181760834, 4.861586929518754)",13195
87,2015-02-18 04:58:20,3843.0,"(45.77722667722483, 4.861807615887323)",6630
88,2015-02-18 14:57:37,5037.0,"(45.781999832851035, 4.8726283182839065)",8306
89,2015-02-18 20:05:43,4318.0,"(45.18686133552087, 5.722130819662184)",5486
90,2015-02-18 21:17:44,51429.0,"(45.18689817261373, 5.722103387978132)",3111
91,2015-02-19 11:37:21,6066.0,"(45.18679404937822, 5.7223706946195625)",11901
92,2015-02-19 13:34:39,8910.0,"(45.1868977042828, 5.722276393851822)",7612
93,2015-02-19 18:19:32,5668.0,"(44.94318615030446, 6.567584414990865)",9299
94,2015-02-19 20:03:19,8633.0,"(44.94325553647926, 6.567563517701626)",14735
95,2015-02-19 22:27:13,6156.0,"(44.94336216097094, 6.567319897096599)",1814
