,Entry_date,DeltaT,Center,Size,Week_day,day,TotalDeltaT,TotalSize,Place Category
0,2015-01-21 11:57:42,32545.0,"(45.78601521400774, 4.879633767833979)",257,2,2,32545.0,257,Workplace
1,2015-01-22 23:48:17,130625.0,"(45.77020333825744, 4.869947818445984)",27417,3,3,130625.0,27417,Living Place
