,Entry_date,DeltaT,Center,Size
74,2014-11-26 18:11:24,50398.0,"(45.77046193593074, 4.869769251111896)",5546
75,2014-11-27 08:30:27,2085.0,"(45.78621390507906, 4.879766426588996)",2402
76,2014-11-27 09:05:17,4555.0,"(45.78646731945869, 4.879860905149493)",7496
77,2014-11-27 10:27:44,3820.0,"(45.7866081543627, 4.879849561968708)",7450
78,2014-11-27 12:04:47,2833.0,"(45.78639203817172, 4.879731713902938)",5222
79,2014-11-27 13:19:45,7901.0,"(45.78656724684626, 4.879880831529787)",13401
80,2014-11-27 15:33:43,2687.0,"(45.786609989352854, 4.8799563067858704)",4696
81,2014-11-27 16:18:54,2183.0,"(45.7866891930616, 4.8798380161944666)",4199
82,2014-11-27 16:55:18,2302.0,"(45.78616720919343, 4.879736549040812)",4605
83,2014-11-27 18:56:28,45581.0,"(45.771032491616346, 4.871259709926221)",994
84,2014-11-28 08:25:33,8803.0,"(45.78624274155202, 4.879722710986593)",3926
85,2014-11-28 11:19:36,3342.0,"(45.781447029946214, 4.877193535855087)",6345
86,2014-11-28 12:50:58,5743.0,"(45.72929057986102, 4.827645746527776)",960
87,2014-11-28 15:09:42,4710.0,"(45.783413093595975, 4.872296369458114)",2030
88,2014-11-28 16:47:23,1922.0,"(45.759196821442615, 4.860681622824451)",2509
89,2014-11-28 17:31:16,18305.0,"(45.77024482421223, 4.869744988391385)",2010
90,2014-11-28 22:49:37,16880.0,"(45.77015656426627, 4.869876889050836)",17822
91,2014-11-29 13:53:45,3003.0,"(45.770071867167765, 4.869847069597118)",3458
92,2014-11-29 14:43:49,2591.0,"(45.77022027597047, 4.869875598111108)",4765
93,2014-11-29 15:33:20,6585.0,"(45.77020500218839, 4.8697076802639225)",9144
94,2014-11-29 17:32:36,5029.0,"(45.77022112653658, 4.869863554181443)",7924
95,2014-11-29 19:02:25,14736.0,"(45.76983167214916, 4.86888506578947)",608
96,2014-11-29 23:08:02,6760.0,"(45.77022728620758, 4.869806924285261)",10610
97,2014-11-30 01:15:21,7935.0,"(45.77017989208862, 4.869848563520412)",9514
98,2014-11-30 08:46:14,90088.0,"(45.77025673115342, 4.869711811758251)",4859
99,2014-12-01 10:37:57,1850.0,"(45.786022184368726, 4.879520941883762)",998
100,2014-12-01 11:32:52,7328.0,"(45.78641553556904, 4.879778566980047)",8617
101,2014-12-01 13:40:43,12882.0,"(45.78638973793579, 4.879828610405535)",4331
102,2014-12-01 17:27:31,4645.0,"(45.78644672743483, 4.879787026228564)",6939
103,2014-12-01 19:05:40,46433.0,"(45.77135070224721, 4.869943848314612)",356
104,2014-12-02 11:42:46,15433.0,"(45.784842610563466, 4.877053099570382)",1319
105,2014-12-02 16:09:42,2684.0,"(45.78684664858778, 4.879787813778602)",3503
106,2014-12-02 17:27:15,2323.0,"(45.786350234719166, 4.879755988590119)",4090
107,2014-12-02 18:30:32,44201.0,"(45.7709202013422, 4.871222259507831)",894
108,2014-12-03 08:46:07,3207.0,"(45.78620011458326, 4.879803315972212)",960
109,2014-12-03 09:55:23,5409.0,"(45.785687876344056, 4.879741370967749)",124
110,2014-12-03 11:25:33,22304.0,"(45.78600678304241, 4.879264975062348)",401
111,2014-12-03 17:59:40,2620.0,"(45.770409571728834, 4.869887027500453)",3806
112,2014-12-03 18:43:21,30533.0,"(45.77017089245968, 4.869797660851832)",24707
113,2014-12-04 07:30:27,22478.0,"(45.78655250087754, 4.879799449810542)",26606
114,2014-12-04 13:48:43,3783.0,"(45.846475, 4.74626166666667)",9
115,2014-12-04 17:24:12,5990.0,"(45.78649163941864, 4.879607343324225)",734
116,2014-12-04 19:14:41,1861.0,"(45.720874375218365, 4.92983205933691)",1910
117,2014-12-04 19:58:34,8600.0,"(45.770297867998295, 4.870261193647566)",3904
118,2014-12-04 22:21:55,32724.0,"(45.7701496764238, 4.8697563723595385)",49659
119,2014-12-05 07:55:35,5677.0,"(45.78607561078894, 4.879768011583013)",6216
120,2014-12-05 09:46:52,2211.0,"(45.781685573333554, 4.872641459999988)",500
121,2014-12-05 10:25:21,7974.0,"(45.78645027840761, 4.879770995029724)",10596
122,2014-12-06 20:20:11,19817.0,"(47.876651666666696, 3.86840166666667)",2
123,2014-12-07 03:44:13,3612.0,"(30.270216528738448, -97.75073627087306)",7226
124,2014-12-07 04:58:30,1998.0,"(30.257372659663094, -97.75030964565764)",3998
125,2014-12-07 05:31:49,31231.0,"(30.257250486289323, -97.7502909457008)",57171
126,2014-12-07 14:45:58,4516.0,"(30.272144213671247, -97.75334700764796)",4184
127,2014-12-07 17:03:16,1805.0,"(30.25204877630113, -97.74905918789229)",3612
128,2014-12-07 17:55:47,1807.0,"(30.2457954028386, -97.75132184826637)",3616
129,2014-12-07 19:08:23,7306.0,"(30.251496223603326, -97.74922654593968)",8366
130,2014-12-07 21:19:33,3563.0,"(30.25739106239717, -97.75020415680996)",6934
131,2014-12-07 22:18:57,2337.0,"(30.257500181415796, -97.75026123525042)",4520
132,2014-12-07 23:17:28,1928.0,"(30.27065118024962, -97.75191544052873)",1816
133,2014-12-07 23:49:37,3412.0,"(30.269867142857073, -97.74878820312487)",896
134,2014-12-08 02:50:39,3875.0,"(30.262850583396922, -97.7621887572284)",7722
135,2014-12-08 04:24:52,1809.0,"(30.257351265193165, -97.75024941804791)",3620
136,2014-12-08 04:55:02,32862.0,"(30.257260485511754, -97.75028645488887)",64908
137,2014-12-08 15:03:33,3198.0,"(30.27183665436386, -97.75392627442528)",4606
138,2014-12-08 17:52:36,3753.0,"(30.286014239418, -97.74165329365063)",504
139,2014-12-08 19:44:39,6475.0,"(30.26894249612389, -97.74287761085303)",2150
140,2014-12-08 22:29:32,1901.0,"(30.258329734770225, -97.74998677925134)",2413
141,2014-12-08 23:35:14,13061.0,"(30.267255878636025, -97.7394670424095)",4378
142,2014-12-09 03:35:26,37948.0,"(30.257255752092572, -97.75027797010858)",75350
143,2014-12-09 14:27:37,2601.0,"(30.268466258692634, -97.74555954102924)",1438
144,2014-12-09 15:21:40,2112.0,"(30.257854305354655, -97.74994922415235)",4146
145,2014-12-09 16:10:45,6444.0,"(30.250535546462, -97.74951394400745)",12096
146,2014-12-09 17:58:10,2056.0,"(30.24868200049089, -97.75025573883197)",1358
