,Entry_date,DeltaT,Center,Size
0,2015-03-05 13:20:26,4756.0,"(45.780738381969435, 4.872608746035021)",9458
1,2015-03-05 14:41:04,4110.0,"(45.78078763506672, 4.872603522324214)",8175
2,2015-03-05 17:10:40,4022.0,"(45.78484381513208, 4.873789690697146)",2802
3,2015-03-05 21:50:02,6245.0,"(45.784874986581265, 4.873615458937315)",11178
4,2015-03-06 00:40:48,8055.0,"(45.78492710977364, 4.873720883455729)",15113
5,2015-03-06 02:55:04,3652.0,"(45.78503347573871, 4.873951744596028)",7186
6,2015-03-06 03:56:07,10545.0,"(45.785032760013046, 4.8736762604973975)",4128
7,2015-03-06 06:56:15,9631.0,"(45.78196771766769, 4.87313883974767)",18032
8,2015-03-06 09:37:15,5336.0,"(45.78189940418501, 4.87318397878148)",8059
9,2015-03-06 12:46:25,6042.0,"(45.782453586541166, 4.872093073373835)",11848
10,2015-03-06 17:22:18,45198.0,"(46.008192416192394, 4.623564676503433)",88285
11,2015-03-07 07:12:55,4287.0,"(46.00820524790961, 4.623520871008463)",8538
12,2015-03-07 09:38:52,6431.0,"(46.008177736706706, 4.623535315301015)",12607
13,2015-03-07 11:27:00,6641.0,"(46.00817586898781, 4.62353559294756)",13253
14,2015-03-07 13:18:20,5913.0,"(46.00817274711228, 4.623593042361866)",10906
15,2015-03-07 15:00:31,5041.0,"(46.008176269129315, 4.6236033685541305)",9890
16,2015-03-07 19:04:54,4684.0,"(45.78498210965383, 4.873634196721375)",9150
17,2015-03-07 23:38:05,35706.0,"(45.78499878827957, 4.873658489671872)",70627
18,2015-03-08 10:55:01,7690.0,"(45.87055940594012, 4.739376343769593)",14948
19,2015-03-08 14:48:17,5438.0,"(45.84711186665286, 4.745179148699944)",8859
20,2015-03-08 17:59:46,4066.0,"(45.78497455045112, 4.873763707302784)",3396
21,2015-03-08 19:07:33,15015.0,"(45.78496519177786, 4.873537179403691)",9212
22,2015-03-08 23:18:21,5547.0,"(45.7849521627031, 4.873614897512871)",7318
23,2015-03-09 00:59:54,18024.0,"(45.78500055695214, 4.873707144478325)",35844
24,2015-03-09 06:57:45,4791.0,"(45.7822657204375, 4.872726004065017)",9020
25,2015-03-09 08:18:01,9895.0,"(45.78224882563261, 4.872756225271733)",18400
26,2015-03-09 12:07:42,4684.0,"(45.767749487724856, 4.888208807924908)",8934
27,2015-03-09 14:04:58,24124.0,"(45.78494203082357, 4.873901715766523)",2444
28,2015-03-09 21:35:24,6046.0,"(45.784947854512154, 4.873562220547442)",10947
29,2015-03-10 00:03:23,21747.0,"(45.78497970737517, 4.873730160541633)",42284
30,2015-03-10 06:58:52,4626.0,"(45.78226510167317, 4.872425956290552)",8770
31,2015-03-10 08:18:23,4494.0,"(45.782228631519594, 4.872379618020647)",7976
32,2015-03-10 09:34:03,7873.0,"(45.78233052843687, 4.872522414629356)",11616
33,2015-03-10 12:18:34,6724.0,"(45.7824058667292, 4.872117541908478)",11553
34,2015-03-10 21:46:12,4526.0,"(45.784938696169746, 4.873608512144122)",4474
35,2015-03-11 01:08:40,9995.0,"(45.78498613738029, 4.873801917666748)",19668
36,2015-03-11 03:57:45,6889.0,"(45.785023263859586, 4.8737358238711)",12858
