,Entry_date,DeltaT,Center,Size
0,2015-03-05 11:12:31,5544.0,"(45.77859599192005, 4.89240984374301)",7509
1,2015-03-05 13:30:21,42596.0,"(45.77847288386395, 4.892549412456009)",3404
2,2015-03-06 01:21:12,14076.0,"(45.77853979255635, 4.89253396113822)",27405
3,2015-03-06 05:16:24,5728.0,"(45.77847641847564, 4.892497213389828)",11322
4,2015-03-06 07:01:36,4005.0,"(45.782229196456186, 4.872427088150734)",7525
5,2015-03-06 08:08:22,4750.0,"(45.782200281915415, 4.872004629445635)",9063
6,2015-03-06 10:15:58,8830.0,"(45.77862009397904, 4.892461629198982)",16014
7,2015-03-06 13:02:28,5516.0,"(45.78244667180361, 4.8720625835599085)",11030
8,2015-03-06 17:36:57,3697.0,"(46.209369979399185, 6.4050381850020965)",3236
9,2015-03-06 18:43:10,7924.0,"(46.23736748536459, 6.396278902063727)",15602
10,2015-03-06 21:01:26,91839.0,"(46.20928357147, 6.404974322762404)",151997
11,2015-03-07 22:43:54,6926.0,"(46.2374541174166, 6.396271475311962)",10626
12,2015-03-08 00:42:44,28871.0,"(46.23744782250045, 6.396247622038708)",57468
13,2015-03-09 07:34:25,7092.0,"(45.782056781262646, 4.873275884459978)",13773
14,2015-03-09 09:33:30,3982.0,"(45.78200250965982, 4.873366505328343)",7851
15,2015-03-09 11:22:39,7153.0,"(45.77873921033018, 4.8925208411703425)",8932
16,2015-03-09 13:22:37,5615.0,"(45.77860002184544, 4.892497107427385)",2594
17,2015-03-09 15:03:20,7241.0,"(45.78162104022937, 4.872932877658005)",14484
18,2015-03-09 17:12:04,5780.0,"(45.778766366682106, 4.89249591271744)",4178
19,2015-03-09 18:52:29,3854.0,"(45.77888268716021, 4.8925624026658285)",6327
20,2015-03-09 19:57:31,4947.0,"(45.77877958338387, 4.89248716820886)",8105
21,2015-03-10 11:16:31,5920.0,"(45.77828121212116, 4.891967070707071)",132
22,2015-03-10 13:06:06,5369.0,"(45.782442215957076, 4.871954080951468)",5143
23,2015-03-10 16:37:50,4296.0,"(45.77858482813398, 4.8926028682842775)",2308
