,Entry_date,DeltaT,Center,Size
0,2015-03-05 11:20:24,12959.0,"(45.78228230418051, 4.873118994570203)",24802
1,2015-03-05 16:15:25,5673.0,"(45.78065010803221, 4.875614768439845)",11185
2,2015-03-05 20:18:19,4369.0,"(45.78044417018766, 4.875432948048691)",8046
3,2015-03-05 21:59:35,9157.0,"(45.78054781353117, 4.875923969678235)",3232
4,2015-03-06 00:32:52,22418.0,"(45.780679962083276, 4.875610197740701)",44528
5,2015-03-06 06:48:59,6039.0,"(45.78237434497547, 4.872527615393005)",12053
6,2015-03-06 08:29:39,9820.0,"(45.78243108810821, 4.87250133172563)",19491
7,2015-03-06 11:14:10,6436.0,"(45.782348361787875, 4.873077955484384)",12827
8,2015-03-06 13:01:27,5950.0,"(45.78238882763957, 4.872092394348337)",11855
9,2015-03-06 15:14:24,4547.0,"(45.780660442082876, 4.8756733533579775)",2164
10,2015-03-06 16:34:15,6173.0,"(45.780696546362684, 4.8756681245839335)",7010
11,2015-03-06 18:17:27,10197.0,"(45.78067847366593, 4.875603041647648)",17696
12,2015-03-06 21:36:42,5125.0,"(45.78059279344804, 4.875576994853226)",9715
13,2015-03-06 23:02:08,12125.0,"(45.780671897199944, 4.875640494748744)",24248
14,2015-03-07 02:24:45,12428.0,"(45.78064186466858, 4.875577871458577)",24848
15,2015-03-07 05:52:34,10842.0,"(45.78059605879523, 4.875596710974666)",19560
16,2015-03-07 10:34:40,27738.0,"(45.78067661619923, 4.875609214445773)",53597
17,2015-03-07 18:18:15,10893.0,"(45.780707022193944, 4.875582584290761)",21147
18,2015-03-07 21:21:43,49646.0,"(45.78066881779583, 4.875641140523864)",97445
19,2015-03-08 11:14:47,8910.0,"(45.780643487287385, 4.875538643973568)",17700
20,2015-03-08 13:46:50,15828.0,"(45.780648640996404, 4.875666380355684)",31219
21,2015-03-08 18:10:39,7888.0,"(45.780668303532686, 4.8756073743675055)",15548
22,2015-03-08 20:25:34,4758.0,"(45.780614074812156, 4.875505443780468)",3012
23,2015-03-08 23:22:39,13441.0,"(45.78069530916339, 4.875635529246056)",25445
24,2015-03-09 03:07:39,13572.0,"(45.780664142031355, 4.875621684423808)",23746
25,2015-03-09 06:55:15,5068.0,"(45.781914623932806, 4.872735392504888)",10140
26,2015-03-09 08:20:05,9721.0,"(45.78200994856424, 4.872731889208971)",19442
27,2015-03-09 11:02:07,10820.0,"(45.782342043218435, 4.873100380720826)",21595
28,2015-03-09 14:05:25,3809.0,"(45.780753805606885, 4.875641348970888)",7418
29,2015-03-09 15:14:53,5499.0,"(45.78064490334627, 4.8755712223846706)",4104
30,2015-03-09 16:53:18,6621.0,"(45.78070738582993, 4.8755876267629255)",11912
31,2015-03-09 19:50:10,12693.0,"(45.780618584656764, 4.875690278750357)",8568
32,2015-03-09 23:43:44,20415.0,"(45.78064946066861, 4.875624712076982)",40167
33,2015-03-10 05:33:59,3795.0,"(45.78062841608865, 4.875601762769168)",7492
34,2015-03-10 06:48:37,6951.0,"(45.780591599808396, 4.875660366041315)",13860
35,2015-03-10 09:09:29,7545.0,"(45.780666143821115, 4.875553853292538)",15014
36,2015-03-10 11:20:09,6099.0,"(45.780565429064175, 4.8755305575647645)",12166
37,2015-03-10 13:03:15,4101.0,"(45.78062423602592, 4.875599454538036)",8146
38,2015-03-10 14:53:25,28286.0,"(45.78060651324376, 4.8756004254306085)",15404
