,Entry_date,DeltaT,Center,Size
0,2014-12-05 09:35:17,6739.0,"(45.783757896995674, 4.8728663090128785)",233
1,2014-12-05 12:46:01,6744.0,"(45.783636552998125, 4.87249779624895)",3519
2,2014-12-05 14:41:59,6752.0,"(45.783630100855376, 4.872643074094145)",9155
3,2014-12-05 17:19:49,7124.0,"(45.7758534862285, 4.871278758732934)",9113
4,2014-12-05 19:56:54,3996.0,"(45.77593717729943, 4.871288091362633)",7618
5,2014-12-05 21:45:22,4024.0,"(45.77592326280844, 4.8712747046413885)",2765
6,2014-12-05 23:16:25,10795.0,"(45.77592975499084, 4.870768696309754)",551
7,2014-12-06 02:45:21,8786.0,"(45.775892880645124, 4.8712278347857545)",17444
8,2014-12-06 05:17:58,8867.0,"(45.775810481714416, 4.871308172208997)",10044
9,2014-12-06 07:45:45,5341.0,"(45.775857446663395, 4.871332996245043)",5859
10,2014-12-06 09:15:24,11587.0,"(45.77593531104046, 4.871197010274307)",17195
11,2014-12-06 12:28:32,3606.0,"(45.775978185964405, 4.871259516491308)",4750
12,2014-12-06 13:28:39,5226.0,"(45.77596063492022, 4.871177257383975)",3318
13,2014-12-06 16:00:23,4095.0,"(45.77602851962069, 4.871261887451497)",7730
14,2014-12-06 17:11:28,5111.0,"(45.77604348561988, 4.871295659317317)",9434
15,2014-12-06 18:37:38,3915.0,"(45.77604318251193, 4.871367222928333)",3934
16,2014-12-06 20:21:06,11163.0,"(45.77596550596215, 4.871247538860013)",16019
17,2014-12-06 23:29:26,5229.0,"(45.77582163738363, 4.871252983347538)",9448
18,2014-12-07 00:59:28,3695.0,"(45.77588601587261, 4.87135141452988)",5460
19,2014-12-07 02:02:22,3766.0,"(45.775923717840556, 4.871288596662884)",7152
20,2014-12-07 03:05:09,3702.0,"(45.775898421374656, 4.871063991054613)",7080
21,2014-12-07 04:08:36,12994.0,"(45.77587717693402, 4.871196868006096)",22400
22,2014-12-07 07:47:58,6484.0,"(45.77586674347661, 4.871132434271476)",6466
23,2014-12-07 17:39:42,6314.0,"(45.775981742765616, 4.871081545601283)",2891
24,2014-12-07 20:22:55,4898.0,"(45.77591018754216, 4.871269756301963)",9349
25,2014-12-07 22:33:48,8570.0,"(45.77587415467746, 4.871285234550077)",15917
26,2014-12-08 00:58:17,6707.0,"(45.77591199552942, 4.87139460071041)",10886
27,2014-12-08 03:11:24,10838.0,"(45.775896809126, 4.871150222821127)",16882
28,2014-12-08 06:12:14,4524.0,"(45.77582128726298, 4.871294010840164)",1845
29,2014-12-08 08:03:16,8583.0,"(45.78411230402926, 4.872555989010986)",910
30,2014-12-08 13:29:55,6485.0,"(45.78343489037561, 4.872647511622047)",5306
31,2014-12-08 20:06:22,5416.0,"(45.7758609618133, 4.871219813347581)",9340
32,2014-12-08 21:41:30,5415.0,"(45.77585414421724, 4.871350169961854)",8649
33,2014-12-08 23:12:46,8661.0,"(45.77585154940107, 4.871334343875662)",17169
34,2014-12-09 01:44:54,6377.0,"(45.7759135546925, 4.87137322121597)",9276
35,2014-12-09 03:32:26,13986.0,"(45.77576352792146, 4.871536232399966)",4214
36,2014-12-09 09:32:09,7660.0,"(46.23059652293569, 6.108404134556587)",545
37,2014-12-09 11:41:13,3637.0,"(45.77593912534833, 4.871409908778705)",3106
38,2014-12-09 13:09:01,13067.0,"(45.760662598870084, 4.859252259887005)",118
39,2014-12-09 17:14:06,5237.0,"(47.19360611111113, 0.6311527777777778)",6
40,2014-12-09 21:36:59,34632.0,"(44.82941244784262, -0.5590794600207717)",3531
41,2014-12-10 07:32:37,10179.0,"(44.851780696594425, -0.573624917440661)",323
42,2014-12-10 12:51:49,10843.0,"(44.84975209542253, -0.5712672232968034)",1551
43,2014-12-10 16:24:07,7270.0,"(44.843855, -0.573746666666667)",3
44,2014-12-10 21:05:13,16500.0,"(44.82944839551664, -0.558935360512486)",6218
45,2014-12-11 01:40:14,4705.0,"(44.829202505142455, -0.5586761031125637)",2431
46,2014-12-11 03:00:30,11038.0,"(44.82937924812849, -0.5590866508488849)",3161
47,2014-12-11 07:34:37,17505.0,"(44.85028550724638, -0.5711935507246377)",23
48,2014-12-11 18:40:44,12536.0,"(45.01143287945458, -0.6449015561068377)",5442
49,2014-12-12 10:10:54,7156.0,"(44.82635153899758, -0.5564675000000002)",2872
50,2014-12-12 12:10:11,9347.0,"(44.82644952349579, -0.5556233816425127)",759
51,2014-12-12 20:09:49,7642.0,"(45.77594232857247, 4.87118528307726)",9173
52,2014-12-12 22:23:54,4207.0,"(45.7761987259255, 4.871182031481423)",5400
53,2014-12-12 23:35:26,10654.0,"(45.77605539239135, 4.871231732671656)",10075
54,2014-12-13 02:37:12,8378.0,"(45.77601838173795, 4.8712727085572585)",11156
55,2014-12-13 04:59:46,17725.0,"(45.77603118160264, 4.8712604523722485)",8157
56,2014-12-13 09:55:26,5564.0,"(45.77594900033694, 4.871157509046126)",6909
57,2014-12-13 11:28:11,4936.0,"(45.77599972477754, 4.871183092935269)",8375
58,2014-12-13 12:50:28,3854.0,"(45.77592256220204, 4.871149165543915)",3711
59,2014-12-13 14:01:13,3922.0,"(45.77610870102734, 4.871254322414896)",3114
60,2014-12-13 15:07:45,4827.0,"(45.77609470948009, 4.871266364678928)",1744
61,2014-12-13 16:40:01,4428.0,"(45.77614103399472, 4.871352740006296)",1059
62,2014-12-13 17:55:10,5491.0,"(45.77591514585794, 4.871210379510608)",2411
63,2014-12-13 19:46:54,11246.0,"(45.77597502731625, 4.871177084224112)",9823
64,2014-12-13 22:54:29,5676.0,"(45.77593928767266, 4.871182621006166)",2796
65,2014-12-14 00:59:08,5434.0,"(45.776062447576265, 4.871433163126338)",2448
66,2014-12-14 02:52:12,364486.0,"(45.77599809545025, 4.871196176733766)",4470
67,2014-12-18 08:34:06,4425.0,"(45.7844149284511, 4.872993526936028)",792
68,2014-12-18 10:11:56,22161.0,"(45.78376648858458, 4.8727401963470225)",730
69,2014-12-18 17:28:43,18670.0,"(45.750257864039206, 4.888675086751249)",17310
70,2014-12-18 22:45:18,4309.0,"(45.77583978940592, 4.871134354392671)",3134
71,2014-12-19 00:59:58,4987.0,"(45.77592180778564, 4.871395537712869)",685
72,2014-12-19 02:48:56,8529.0,"(45.775991466183, 4.871301299688921)",2893
73,2014-12-19 05:40:14,5248.0,"(45.77606817036239, 4.871292878529488)",1759
74,2014-12-19 07:11:00,8108.0,"(45.775997745345606, 4.871222623463269)",9490
75,2014-12-19 09:27:15,5982.0,"(45.77596717093497, 4.87118512805241)",1679
76,2014-12-19 11:23:14,17221.0,"(45.77593419864315, 4.871237139780703)",2554
