,Entry_date,DeltaT,Center,Size
0,2014-12-05 15:38:26,4133.0,"(45.78683738607029, 4.879882590642017)",4652
1,2014-12-05 16:47:27,21151.0,"(45.782144308610796, 4.872551749423805)",1591
2,2014-12-05 22:49:17,12757.0,"(45.7820782759849, 4.872716386072675)",6510
3,2014-12-06 02:26:17,3616.0,"(45.781993630081224, 4.8727634999999765)",3280
4,2014-12-08 17:29:32,19376.0,"(44.84969342677385, -0.5709060871717114)",38384
5,2014-12-08 22:53:01,13604.0,"(44.84971641463145, -0.570885608063248)",27086
6,2014-12-09 02:39:46,4073.0,"(44.84972016757699, -0.5712059901522698)",8056
7,2014-12-09 03:49:15,134678.0,"(44.84971131111423, -0.571065905411226)",17747
8,2014-12-10 17:26:46,3669.0,"(44.838000884633054, -0.5790320177838543)",1462
9,2014-12-10 18:40:33,9777.0,"(44.84432952261308, -0.5759458961474038)",199
10,2014-12-11 07:10:02,9282.0,"(44.849938422982724, -0.5712000366748199)",409
11,2014-12-11 09:44:45,34601.0,"(44.849803794119296, -0.5711251605802743)",25138
12,2014-12-11 19:22:01,5783.0,"(44.849666245167924, -0.5709970749739232)",10866
13,2015-02-10 17:00:52,6012.0,"(45.78651986660862, 4.879785938255705)",11445
14,2015-02-16 10:01:06,6337.0,"(45.786866191471645, 4.879840434406879)",10992
15,2015-02-16 11:47:33,5428.0,"(45.7865646039952, 4.879727351459229)",10850
16,2015-02-16 13:34:24,20542.0,"(45.786550818984, 4.879760969459312)",40416
17,2015-02-17 08:37:12,4339.0,"(45.78642637912827, 4.879814696543149)",8167
18,2015-02-17 09:49:46,12798.0,"(45.78665473060571, 4.8798885005429256)",23324
19,2015-02-17 13:23:38,15409.0,"(45.786578014539565, 4.879813183666149)",30668
20,2015-02-18 10:47:21,3711.0,"(45.78653874377146, 4.8798942764228865)",6355
21,2015-02-18 11:49:42,5161.0,"(45.78666503155411, 4.879817048241704)",10247
22,2015-02-18 15:10:16,5157.0,"(45.78643048548561, 4.879789576499603)",4329
23,2015-02-19 08:10:41,5433.0,"(45.78641713962456, 4.87976066213903)",10748
24,2015-02-19 09:41:16,11076.0,"(45.786572168415226, 4.879907659186243)",22013
25,2015-02-19 12:46:10,4497.0,"(45.78669078139106, 4.879817682926836)",369
26,2015-02-19 16:34:47,4811.0,"(45.78626626275918, 4.879795681928609)",6858
27,2015-02-19 18:56:46,47365.0,"(45.78036750460396, 4.874074355432762)",362
28,2015-02-20 08:17:32,3739.0,"(45.786456206459434, 4.8798458370277)",6316
29,2015-02-20 11:11:18,4300.0,"(45.78623054677077, 4.879804141629103)",8221
30,2015-02-20 12:49:56,5887.0,"(45.78661483477798, 4.879817021481682)",11762
