,Entry_date,DeltaT,Center,Size
0,2014-12-05 16:45:59,259099.0,"(45.78173062137064, 4.872849303135907)",574
1,2014-12-08 18:11:11,5543.0,"(44.843492677799134, -0.5751008569098862)",4701
2,2014-12-08 19:48:18,11867.0,"(44.84125430669853, -0.5726596034077592)",1702
3,2014-12-08 23:15:58,3877.0,"(44.85532759092828, -0.5665172657252887)",1558
4,2014-12-09 00:25:35,4701.0,"(44.85537326245011, -0.5665222641579277)",8982
5,2014-12-09 01:44:08,4150.0,"(44.85538953116622, -0.5666036680370402)",8027
6,2014-12-09 02:54:07,11176.0,"(44.85534819503709, -0.5665221733479708)",16414
7,2014-12-09 06:05:21,5310.0,"(44.85542870197489, -0.5665678126390955)",8988
8,2014-12-09 07:42:43,7329.0,"(44.84996853146846, -0.5711001631701631)",286
9,2014-12-09 09:44:53,25062.0,"(44.849800341064295, -0.5712373096618195)",6900
10,2014-12-09 16:59:18,6692.0,"(44.8553599088274, -0.5665246654408091)",13052
11,2014-12-09 20:26:12,6780.0,"(44.855427933253836, -0.5665004476133867)",3366
12,2014-12-09 22:31:07,14378.0,"(44.855352162943944, -0.566490361378533)",26279
13,2014-12-10 02:31:55,4200.0,"(44.85544260792908, -0.5665996955457654)",6810
14,2014-12-10 04:19:42,5576.0,"(44.855365891855485, -0.5665057912171305)",10566
15,2014-12-10 05:52:43,6138.0,"(44.85542895136644, -0.5665465368758619)",8732
16,2014-12-10 13:55:43,11091.0,"(44.84981515554203, -0.5712353491516016)",21452
17,2014-12-10 18:47:52,9294.0,"(44.8406961297537, -0.572306152125278)",298
18,2014-12-10 21:51:55,7469.0,"(44.85542635695273, -0.5664443201504387)",7889
19,2014-12-11 00:04:49,10881.0,"(44.855361085589934, -0.5665132053819514)",19200
20,2014-12-11 03:56:09,5327.0,"(44.855383940190855, -0.5665328824849233)",9508
21,2014-12-11 06:16:09,6855.0,"(44.855385289030025, -0.5665473650953831)",6937
22,2014-12-11 10:01:06,3878.0,"(44.84980707597911, -0.571678881618981)",6572
23,2014-12-11 11:07:33,17935.0,"(44.84967251824496, -0.5713898502017374)",7766
24,2014-12-11 18:40:11,5387.0,"(45.01136650216082, -0.6446606879909199)",10567
25,2014-12-11 20:09:59,3824.0,"(45.01132613563036, -0.6445870311464545)",7545
26,2014-12-11 21:13:44,4234.0,"(45.01133072440848, -0.6445695598717808)",7903
27,2014-12-12 00:35:39,4471.0,"(44.85536449073029, -0.5665099685684746)",8378
28,2014-12-12 01:53:12,13770.0,"(44.85535398461245, -0.5665350442453015)",11828
29,2015-01-07 12:00:40,17341.0,"(45.78641357843136, 4.879428602941182)",136
30,2015-01-20 11:41:35,4132.0,"(45.78668653457033, 4.879950103757987)",7646
31,2015-01-20 13:06:40,7721.0,"(45.78609757413945, 4.879657449326922)",12926
32,2015-01-20 19:59:04,48115.0,"(45.76982075136618, 4.867867206284158)",488
33,2015-01-21 09:40:56,7125.0,"(45.78640202731014, 4.879554101553439)",14206
34,2015-01-21 11:40:15,3716.0,"(45.7864096139196, 4.879465701228198)",7002
35,2015-01-21 12:45:23,7278.0,"(45.78639191677871, 4.879522502772419)",14127
36,2015-01-21 15:14:12,18556.0,"(45.78642790716392, 4.879246339557145)",14032
37,2015-01-23 19:20:46,4302.0,"(45.783594063868286, 4.872617454341543)",6242
