,Entry_date,DeltaT,Center,Size
0,2014-12-05 12:50:53,8219.0,"(45.78659588514813, 4.879964680894728)",16212
1,2014-12-09 17:10:26,18520.0,"(44.83456717572137, -0.5636995227606397)",1362
2,2014-12-09 22:21:22,4651.0,"(44.83520906291831, -0.5672538688085682)",249
3,2014-12-10 00:55:43,23462.0,"(44.84087879721659, -0.5784649171636842)",503
4,2014-12-10 07:33:43,35083.0,"(44.84968395555534, -0.5709252822222275)",1500
5,2014-12-10 18:39:31,10838.0,"(44.84011601960777, -0.5715434705882353)",510
6,2014-12-11 00:11:27,4661.0,"(44.84053581028334, -0.5786584809715314)",8207
7,2014-12-11 01:29:09,11212.0,"(44.84059337255014, -0.5787339858976204)",12622
8,2015-01-08 14:26:46,3442863.0,"(45.786281348485204, 4.879795939393962)",440
9,2015-02-17 11:15:12,4904.0,"(45.78211092912742, 4.872488620327148)",8560
10,2015-02-17 12:56:44,3712.0,"(45.78194456500807, 4.872639949363401)",6912
11,2015-02-17 14:00:06,10477.0,"(45.78189520426747, 4.872715180779362)",17738
12,2015-02-17 16:59:17,8212.0,"(45.785559961442026, 4.883349441739115)",16426
13,2015-02-17 19:23:48,6722.0,"(45.78426138678125, 4.871435355743919)",13446
14,2015-02-17 21:15:51,64409.0,"(45.78431716571025, 4.871440835986065)",60005
15,2015-02-18 16:53:13,4259.0,"(45.783024157894786, 4.876337207017551)",950
16,2015-02-18 18:08:18,6287.0,"(45.78428052718409, 4.871451050111593)",12532
17,2015-02-18 19:53:06,12032.0,"(45.78427157103676, 4.87137872129406)",23877
18,2015-02-18 23:14:37,11811.0,"(45.784261466103736, 4.871417146776895)",18041
19,2015-02-19 02:31:30,10786.0,"(45.7842829205956, 4.871427363619202)",17610
20,2015-02-19 05:31:26,10631.0,"(45.784207219004976, 4.871390990425661)",20715
21,2015-02-19 09:59:32,5583.0,"(45.78428320135777, 4.87143257400773)",7274
22,2015-02-19 13:05:14,3969.0,"(45.78428108774141, 4.871328078925135)",7940
23,2015-02-19 14:31:53,6591.0,"(45.785592264362556, 4.8835469809368695)",13184
24,2015-02-19 17:59:38,11072.0,"(45.77552702205884, 4.870837500000008)",272
25,2015-02-19 21:10:51,23260.0,"(45.78423137739567, 4.871408153818583)",29914
26,2015-02-20 03:38:32,14815.0,"(45.78426802563342, 4.871422940999874)",29520
27,2015-02-20 10:26:42,4563.0,"(45.74112116012009, 4.817847865920511)",9114
28,2015-02-20 11:42:46,8206.0,"(45.74124362556476, 4.8177070047924735)",16414
29,2015-02-20 15:59:32,4233.0,"(45.7842066603936, 4.871449517367985)",8243
30,2015-02-20 17:10:06,57666.0,"(45.78427596223783, 4.871399340470748)",114329
31,2015-02-21 09:12:21,30301.0,"(45.78424856642734, 4.871374527531744)",54113
32,2015-02-21 17:37:50,74429.0,"(45.78428044308788, 4.8714104692806846)",142722
33,2015-02-24 12:49:45,5901.0,"(45.78191490384619, 4.872752181188938)",11752
34,2015-02-24 14:28:48,7650.0,"(45.78191536355317, 4.872734318311083)",15266
35,2015-02-24 16:41:08,9618.0,"(45.78553324496737, 4.883279318363439)",19238
36,2015-02-24 19:29:12,9826.0,"(45.784248117126275, 4.871424473379869)",17568
37,2015-02-24 22:12:59,33507.0,"(45.78426165302819, 4.8714446848756126)",65461
38,2015-02-25 07:46:49,4399.0,"(45.78185060152905, 4.8728150095546905)",8024
39,2015-02-25 10:04:57,3844.0,"(45.78189663657434, 4.872694618055595)",1440
40,2015-02-25 11:43:43,4658.0,"(45.78428402323647, 4.871403005700948)",9238
41,2015-02-25 13:04:52,3921.0,"(45.78190030894014, 4.87252531404048)",7844
42,2015-02-25 14:10:40,7830.0,"(45.781876591957655, 4.872603800736345)",15661
43,2015-02-25 17:12:23,3793.0,"(45.740303443677305, 4.84908296596654)",7522
44,2015-02-25 18:16:24,3727.0,"(45.74033355021214, 4.8491564794907775)",7070
45,2015-02-25 21:46:16,9847.0,"(45.784275875085385, 4.871411386422746)",12953
46,2015-02-26 00:32:22,8255.0,"(45.78423066941514, 4.871421693377731)",15287
47,2015-02-26 02:50:07,15883.0,"(45.78425924389367, 4.871439455321878)",31768
48,2015-02-26 08:11:43,9201.0,"(45.78254990673613, 4.872491672478759)",18353
49,2015-03-04 07:44:49,5758.0,"(45.78182929813651, 4.872791367051201)",11270
50,2015-03-04 09:44:46,4606.0,"(45.78184234516031, 4.872848918512456)",4876
51,2015-03-04 11:47:48,3633.0,"(45.78112529490141, 4.87632186662981)",7268
52,2015-03-04 12:50:28,15580.0,"(45.78191352812074, 4.872603061100283)",31162
53,2015-03-04 17:10:09,4023.0,"(45.782383663020816, 4.872543035536648)",8048
54,2015-03-04 18:17:56,7444.0,"(45.78426773371024, 4.871471378464198)",13856
55,2015-03-04 20:22:01,9668.0,"(45.78429074091354, 4.871372038766102)",19278
56,2015-03-04 23:03:46,3684.0,"(45.7842728225974, 4.871421759930996)",6755
57,2015-03-05 00:05:11,387434.0,"(45.78428369103802, 4.87143915038234)",37509
58,2015-03-09 12:54:12,12241.0,"(45.781837495728794, 4.872614983483298)",8779
59,2015-03-09 16:20:08,27249.0,"(45.784271632246124, 4.871425123645647)",21257
60,2015-03-09 23:54:44,27501.0,"(45.78427085874727, 4.871419606569505)",19707
61,2015-03-10 07:35:23,5082.0,"(45.781864127334494, 4.872712982628572)",4068
62,2015-03-10 09:00:06,7426.0,"(45.78185569263295, 4.872660194750231)",5905
