,Entry_date,DeltaT,Center,Size
0,2015-01-20 11:16:45,17289.0,"(45.78617745421263, 4.880002455562037)",34580
1,2015-01-20 16:04:55,5219.0,"(45.786143344853336, 4.880157865783336)",10416
2,2015-01-20 18:54:21,14630.0,"(45.75527140051842, 4.867583117025528)",3344
3,2015-01-21 08:28:43,5782.0,"(45.78613838596538, 4.8800518042749195)",11494
4,2015-01-21 10:05:06,21072.0,"(45.786155420156625, 4.880063005388505)",42131
5,2015-01-21 16:20:21,6755.0,"(45.786112130385725, 4.880133430047985)",13097
6,2015-01-21 19:07:00,4574.0,"(45.75533626174998, 4.867626954859983)",6454
7,2015-01-21 20:24:07,9975.0,"(45.755347651876676, 4.867604034959005)",5454
8,2015-01-21 23:10:23,5780.0,"(45.755386110256325, 4.86760261794869)",1300
9,2015-01-22 04:07:14,6871.0,"(45.755356750797624, 4.867554067304832)",6894
10,2015-01-27 21:37:55,4617.0,"(45.755368733005035, 4.8675898097586945)",6080
11,2015-01-27 22:56:35,30886.0,"(45.75518445415998, 4.86748028881824)",1258
12,2015-01-28 08:06:57,5923.0,"(45.78616778280488, 4.8799873171078785)",11710
13,2015-02-06 19:30:16,117150.0,"(45.755308449883444, 4.867391363636361)",286
14,2015-02-08 04:56:07,6116.0,"(45.75535262528657, 4.867565563795044)",9844
15,2015-02-08 08:31:34,3865.0,"(45.75534135239488, 4.867480166223372)",7520
16,2015-02-08 11:25:07,10704.0,"(45.75534976203256, 4.867520583580108)",20577
17,2015-02-08 14:54:40,4695.0,"(45.75529673819768, 4.867489370243215)",5825
18,2015-02-08 16:17:52,5323.0,"(45.75535405239376, 4.867602749545904)",9721
19,2015-02-08 18:28:42,5038.0,"(45.75537138520837, 4.867593204417044)",6490
20,2015-02-08 19:54:41,4332.0,"(45.755432449873005, 4.8675724900763315)",6550
21,2015-02-08 21:07:23,4936.0,"(45.75531241611974, 4.867551709266383)",8842
22,2015-02-09 09:07:27,4880.0,"(45.786223340568846, 4.8799851973956985)",9676
23,2015-02-09 10:28:48,20455.0,"(45.78616957829317, 4.880046119885892)",40522
24,2015-02-09 16:10:27,5717.0,"(45.78619697625092, 4.87997480767969)",10148
25,2015-02-09 20:07:36,421007.0,"(45.755471980093326, 4.867724987293567)",1574
26,2015-02-14 17:16:29,4512.0,"(45.75528288084321, 4.867506780495676)",8258
27,2015-02-14 19:38:42,3615.0,"(45.75543097089451, 4.86758730192462)",5646
28,2015-02-19 09:43:11,183330.0,"(45.75526352437422, 4.867678590250327)",253
29,2015-02-21 13:29:37,3726.0,"(45.75554084571997, 4.867578192380024)",1951
30,2015-02-21 14:34:29,6092.0,"(45.75541707864288, 4.867550575816649)",6663
31,2015-02-21 16:23:56,4702.0,"(45.755337719458275, 4.867622139270027)",8164
32,2015-02-21 18:36:14,3891.0,"(45.755292382624155, 4.867683863536647)",2279
33,2015-02-21 20:27:54,5296.0,"(45.755383967940276, 4.867601706192356)",759
34,2015-02-22 00:38:20,3767.0,"(45.755497876897735, 4.867671346433802)",1603
35,2015-02-22 04:52:41,5605.0,"(45.75529201646038, 4.8676118567251265)",6156
36,2015-02-22 08:14:03,8711.0,"(45.75532720961253, 4.867490091992258)",14802
37,2015-02-22 10:48:11,9240.0,"(45.75533699799481, 4.867512423386174)",13803
38,2015-02-22 16:15:13,5299.0,"(45.75534654330081, 4.867570758770505)",9511
39,2015-02-22 18:36:41,4268.0,"(45.755390906666634, 4.868477453333336)",125
40,2015-02-22 20:18:28,5854.0,"(45.75537910570643, 4.867655105706876)",5140
41,2015-02-22 22:00:02,8762.0,"(45.755616391184596, 4.86745805785124)",242
