,Entry_date,DeltaT,Center,Size
0,2014-10-13 18:58:52,406240.0,"(45.783182506527, 4.879008950646616)",10597
1,2014-10-18 12:12:07,5402.0,"(45.78341268031749, 4.878897953335227)",3443
2,2014-11-18 15:01:46,3751.0,"(45.786182049931675, 4.879847466354567)",6836
3,2014-11-25 14:53:25,697139.0,"(45.78621415761751, 4.879883723264217)",2026
4,2014-12-03 16:55:18,5835.0,"(45.78316854361234, 4.878940018978261)",4391
5,2014-12-03 18:58:03,3623.0,"(45.77140271679551, 4.858231196002579)",4136
6,2014-12-03 20:57:48,3898.0,"(45.78321836089453, 4.8788984352574225)",3205
7,2014-12-03 23:52:17,5997.0,"(45.78321112094363, 4.878939462705437)",791
8,2014-12-04 04:31:54,5988.0,"(45.78329050632915, 4.878880527426148)",474
9,2014-12-04 06:11:43,6638.0,"(45.783309941520464, 4.879003315789473)",285
10,2014-12-04 09:53:45,4111.0,"(45.786184960639645, 4.879972742932085)",3938
11,2014-12-04 11:07:59,4081.0,"(45.78342433554821, 4.8786771539313305)",602
12,2014-12-04 14:39:55,3675.0,"(45.78610712005644, 4.879870033192062)",2360
13,2014-12-04 15:51:03,4073.0,"(45.78614430528472, 4.8799723326810795)",2555
14,2014-12-04 21:21:11,29149.0,"(45.78328773357838, 4.8788618101455)",2451
15,2014-12-05 05:31:52,6167.0,"(45.783024616741606, 4.87892855340915)",3779
16,2014-12-05 07:36:25,4904.0,"(45.78313328025527, 4.878930372472996)",3611
17,2014-12-05 09:15:38,5008.0,"(45.786180631768886, 4.880065772663472)",3324
18,2014-12-05 11:20:08,5985.0,"(45.78610669485273, 4.8800221200980705)",2720
19,2014-12-05 17:33:16,3620.0,"(45.78329753595393, 4.878797436880775)",2086
20,2014-12-06 00:55:34,17463.0,"(45.78309620083383, 4.878912412543059)",3678
21,2014-12-06 05:50:01,5184.0,"(45.78299296529014, 4.879287800718128)",557
22,2014-12-06 09:43:38,3701.0,"(45.78301673438667, 4.878812569601209)",886
23,2014-12-06 10:45:52,5714.0,"(45.78311394009217, 4.878807672811054)",651
24,2014-12-06 12:46:01,4491.0,"(45.78322185752545, 4.878782286957963)",1991
25,2014-12-06 14:12:53,8429.0,"(45.78350940215318, 4.878737093425619)",1734
26,2014-12-06 18:01:13,5414.0,"(45.78341575518554, 4.878906627227571)",2282
27,2014-12-06 19:46:00,15699.0,"(45.78321331896576, 4.87887431194126)",2088
28,2014-12-07 00:08:09,22427.0,"(45.7832713063063, 4.878828172458179)",259
29,2014-12-07 06:23:28,4821.0,"(45.78308068176702, 4.879102736082925)",1479
30,2014-12-08 07:10:01,6334.0,"(45.78323979061981, 4.878952177554445)",398
31,2014-12-08 09:42:28,11916.0,"(45.7861857644755, 4.879923435957107)",8169
32,2014-12-08 13:50:31,6265.0,"(45.78619598432053, 4.879937139953526)",1148
33,2014-12-08 21:52:47,18420.0,"(45.783093122944614, 4.878808531630898)",3446
34,2014-12-09 04:03:47,10074.0,"(45.78307081481508, 4.878899912144665)",3870
35,2014-12-09 11:39:33,15766.0,"(45.78615211146714, 4.879963306021044)",8116
36,2014-12-09 16:19:29,3895.0,"(45.78623579036212, 4.8799724647022495)",2172
37,2014-12-09 18:23:47,10516.0,"(45.783559807375894, 4.878988336856934)",1419
38,2014-12-09 22:37:58,15667.0,"(45.78340685672511, 4.878859159356728)",456
39,2014-12-10 02:59:06,7478.0,"(45.78292855709879, 4.878978001543211)",432
40,2014-12-10 11:09:59,5215.0,"(45.78613665829156, 4.879989059882732)",1592
41,2014-12-10 15:06:33,6138.0,"(45.78607736157081, 4.880213700639773)",3022
42,2014-12-10 22:31:56,7627.0,"(45.78318287628046, 4.878802775151099)",2538
43,2014-12-11 00:39:24,4469.0,"(45.78301808897162, 4.878865841389269)",1862
44,2014-12-11 01:54:19,6064.0,"(45.78324481075955, 4.8788820215633555)",2968
45,2014-12-11 05:01:59,8409.0,"(45.782988015431144, 4.878927494872545)",3413
46,2014-12-11 16:03:46,4760.0,"(45.78610915368632, 4.880060784008305)",642
47,2014-12-17 16:48:33,5470.0,"(45.78619707713566, 4.879848708442694)",9144
48,2014-12-17 18:46:50,5915.0,"(45.771015826503124, 4.858854112021809)",2928
49,2014-12-17 20:46:55,11111.0,"(45.77787776141231, 4.878572143533937)",21110
50,2014-12-17 23:52:40,12076.0,"(45.77789573997545, 4.878434293105081)",21262
51,2014-12-18 13:46:06,3714.0,"(45.786116515976694, 4.87978314418581)",4767
52,2014-12-18 14:53:42,6155.0,"(45.786201307156034, 4.879945856829818)",11562
53,2014-12-18 19:43:56,9181.0,"(45.78325470720713, 4.8788983614864865)",1776
54,2014-12-18 22:41:53,3652.0,"(45.78323898816103, 4.8786853064496505)",5406
55,2014-12-18 23:47:30,5076.0,"(45.78334969040476, 4.8787160893922845)",8032
56,2014-12-19 01:52:22,3986.0,"(45.783340586854784, 4.878773657829371)",7242
57,2014-12-19 04:00:12,4955.0,"(45.78332522053074, 4.878789430033211)",8404
58,2014-12-19 05:31:14,4508.0,"(45.78318972214071, 4.878918502865927)",6862
59,2014-12-19 07:12:38,3728.0,"(45.783372598800646, 4.878960846279648)",7338
60,2014-12-19 08:54:27,10624.0,"(45.78615812834685, 4.879942960198876)",21172
61,2014-12-19 11:52:43,5206.0,"(45.78616576930397, 4.8798214809834235)",10412
62,2014-12-19 14:58:21,241130.0,"(45.78614877448994, 4.88004492284665)",19377
63,2014-12-22 10:03:59,9424.0,"(45.786159776262906, 4.879895356022856)",15837
64,2014-12-22 12:50:03,12782.0,"(45.78620940754077, 4.87991098438542)",25532
65,2014-12-22 21:25:38,3722.0,"(45.783175249559335, 4.878613638092604)",7186
66,2014-12-23 03:51:55,55501.0,"(45.78298009675779, 4.87909215394003)",3824
67,2014-12-23 20:16:17,4825.0,"(45.78333315534333, 4.878741601909411)",9008
68,2014-12-23 22:04:39,39682.0,"(45.78316357229749, 4.878894863923003)",12052
69,2014-12-24 09:08:56,4641.0,"(45.78319659344628, 4.8787706709437755)",9196
70,2014-12-24 10:39:49,12143.0,"(45.7861638847729, 4.879906284035944)",24288
71,2014-12-24 14:02:13,6445.0,"(45.786173684196136, 4.879951544885633)",12892
72,2014-12-24 15:50:06,4049.0,"(45.78611928511306, 4.879935044258972)",7908
73,2014-12-24 20:23:37,3625.0,"(45.77596436332363, 4.87120546091444)",2712
74,2014-12-27 11:07:19,4905.0,"(45.783062004264025, 4.878936098080995)",938
75,2014-12-27 19:52:23,6393.0,"(45.783000692186526, 4.87877881899494)",12670
76,2014-12-27 22:04:51,4893.0,"(45.78318280490764, 4.878817497570464)",2744
77,2014-12-28 00:21:11,6857.0,"(45.78324403297648, 4.878793171594862)",12716
78,2014-12-28 02:55:55,4030.0,"(45.78302554305728, 4.878942988376441)",5334
79,2014-12-28 05:46:00,3739.0,"(45.78332617564197, 4.87888379502523)",5682
80,2014-12-28 07:14:55,5903.0,"(45.78329416929612, 4.878771032900924)",11408
81,2014-12-28 08:56:09,7434.0,"(45.783333109298155, 4.878806461761861)",14462
82,2014-12-30 00:09:13,6277.0,"(45.78312585469998, 4.878727618466286)",11466
83,2014-12-30 03:15:09,4785.0,"(45.78311566789653, 4.878706124439747)",7586
84,2014-12-30 05:40:42,3950.0,"(45.783083584561716, 4.8789524360278)",7868
85,2014-12-30 06:49:04,5645.0,"(45.78312949196357, 4.878969251785647)",11200
86,2014-12-30 08:30:36,8372.0,"(45.78319256811647, 4.878782943753956)",16736
87,2014-12-30 10:50:48,8482.0,"(45.78321487403218, 4.878814813308215)",16962
88,2014-12-30 21:08:55,50511.0,"(45.78402958333334, 4.878741458333334)",16
89,2014-12-31 11:10:47,6180.0,"(45.78330715657511, 4.878706767587719)",3402
90,2014-12-31 13:59:53,4979.0,"(45.783294275880564, 4.8788018002490325)",9370
91,2014-12-31 15:24:20,8532.0,"(45.78333615753368, 4.8787763887251625)",16970
92,2014-12-31 20:01:37,3925.0,"(45.77793761795973, 4.861768023338399)",3285
93,2015-01-01 04:53:23,4569.0,"(45.783058033931454, 4.878893367847599)",8016
94,2015-01-01 06:15:14,5588.0,"(45.78317709716097, 4.878962357203085)",11088
95,2015-01-01 07:49:12,5931.0,"(45.78324312627288, 4.87876910669842)",11784
96,2015-01-01 09:42:50,4648.0,"(45.78314332860649, 4.878799606239162)",9168
97,2015-01-01 21:26:34,9991.0,"(45.783127333333354, 4.878643840000003)",125
98,2015-01-02 00:48:46,5524.0,"(45.7832953254429, 4.878816172080585)",10898
99,2015-01-02 02:22:13,6649.0,"(45.783110620359544, 4.878907457714409)",12928
100,2015-01-02 04:17:42,4046.0,"(45.783285057848545, 4.878917795497202)",4264
101,2015-01-02 07:58:47,4841.0,"(45.783329881652904, 4.878780494047626)",9520
102,2015-01-02 09:20:48,5927.0,"(45.78321154279044, 4.878821901943722)",11490
103,2015-01-02 11:00:11,4406.0,"(45.78330923606379, 4.878825634218305)",8814
104,2015-01-02 12:13:38,5801.0,"(45.783255359838286, 4.878868948276933)",11394
105,2015-01-02 14:04:36,3902.0,"(45.78315397600403, 4.878995652901774)",7168
106,2015-01-02 15:11:53,6779.0,"(45.78323122759136, 4.878795309801552)",13202
107,2015-01-02 17:22:08,9159.0,"(45.78319491272875, 4.878924831417324)",18181
108,2015-01-02 20:00:19,3866.0,"(45.783335702584, 4.878785136853846)",6552
109,2015-01-02 21:04:46,21100.0,"(45.78207682926833, 4.8788820731707325)",82
110,2015-01-03 03:01:32,4201.0,"(45.78336938993727, 4.8787957753818345)",5565
111,2015-01-03 04:43:12,4057.0,"(45.783153577665935, 4.8789116032952675)",4734
112,2015-01-03 07:08:17,14739.0,"(45.78319179213003, 4.878819191415737)",29092
113,2015-01-03 11:17:54,6570.0,"(45.7832518264537, 4.878769884046785)",13080
114,2015-01-03 17:58:00,53678.0,"(45.782075053763435, 4.88027157706093)",93
115,2015-01-04 14:42:05,48025.0,"(45.78314527541483, 4.87894232717363)",7522
116,2015-01-05 05:24:47,4764.0,"(45.78311596725298, 4.879086207722379)",6820
