,Entry_date,DeltaT,Center,Size
0,2014-12-05 12:55:55,3889.0,"(45.786517010646996, 4.879940096525028)",2849
1,2014-12-05 14:00:44,9784.0,"(45.78669226976045, 4.880117599035252)",17073
2,2014-12-05 16:45:58,12767.0,"(45.78176978390048, 4.872800834683963)",617
3,2014-12-05 21:23:02,6435.0,"(45.78208827547981, 4.872594884565702)",12388
4,2014-12-05 23:11:53,4003.0,"(45.78197486605973, 4.872612293954803)",7466
5,2014-12-06 00:34:06,4013.0,"(45.78205605543128, 4.872570468458363)",7144
6,2014-12-06 01:42:19,9039.0,"(45.78191314553557, 4.872464209090035)",12336
7,2014-12-09 17:24:50,17649.0,"(44.834345197145446, -0.5635180076705529)",4954
8,2014-12-09 22:33:11,6011.0,"(44.835448969795465, -0.5674983297374909)",1854
9,2014-12-10 01:17:47,3890.0,"(44.83395957011093, -0.5666149466594471)",7374
10,2014-12-10 03:08:31,13710.0,"(44.833826315627036, -0.5665505769061874)",22742
11,2014-12-10 07:10:27,26051.0,"(44.84993631823456, -0.5712882171893153)",287
12,2014-12-10 15:09:09,7761.0,"(44.84977808747009, -0.5712101439267355)",13178
13,2014-12-10 17:30:32,3687.0,"(44.83806578410695, -0.5785388994374133)",948
14,2014-12-10 18:40:02,9444.0,"(44.84029670130899, -0.5712825057736753)",1732
15,2014-12-10 21:18:19,4861.0,"(44.84005362942283, -0.5708536610800743)",1790
16,2014-12-11 00:28:09,3843.0,"(44.833902774873536, -0.5663109979961658)",7652
17,2014-12-11 01:32:52,3817.0,"(44.83394670053325, -0.5663513853517589)",7382
18,2014-12-11 02:46:12,7206.0,"(44.833865142552774, -0.5665314506772734)",10803
19,2014-12-11 05:06:03,4116.0,"(44.83380390837973, -0.5664296470922595)",8208
20,2014-12-11 09:54:41,4586.0,"(44.86095418877027, -0.5527785366931967)",1508
21,2014-12-11 11:17:38,12686.0,"(44.84981222660057, -0.5712420929600313)",7358
22,2014-12-11 15:04:48,3666.0,"(44.83390415217023, -0.5663193135054194)",7128
23,2015-01-07 09:26:32,5775.0,"(45.78645091435184, 4.879699525462968)",288
24,2015-02-17 11:14:26,6071.0,"(45.782067127202865, 4.872404773252169)",11834
25,2015-02-17 13:23:04,6110.0,"(45.78184025221071, 4.8728051474116265)",10560
26,2015-02-17 16:17:13,9630.0,"(45.78435391491388, 4.8794565445158335)",15882
27,2015-02-17 18:58:15,4722.0,"(45.78446467510138, 4.879670273352089)",2134
28,2015-02-17 20:18:10,4463.0,"(45.784356133252714, 4.879752896537836)",1656
29,2015-03-10 12:57:30,3726.0,"(45.781915334113485, 4.87272860504419)",2564
30,2015-03-10 15:13:43,6204.0,"(45.78416761161036, 4.8795447846242155)",2337
31,2015-03-10 16:57:08,12643.0,"(45.78435264001817, 4.879611064143347)",5654
32,2015-03-10 21:08:46,4403.0,"(45.784235513599505, 4.879645038013151)",3946
33,2015-03-10 22:22:52,5345.0,"(45.78427337280695, 4.879625915350849)",7600
34,2015-03-10 23:53:42,16562.0,"(45.78430430624788, 4.879589893221124)",32341
35,2015-03-11 04:30:14,5111.0,"(45.78436943821736, 4.879498819403512)",10170
