,Entry_date,DeltaT,Center,Size
0,2014-11-25 16:26:26,5324.0,"(45.6640469047619, 5.026609047619045)",7
1,2014-11-25 18:14:36,26333.0,"(45.186244452113776, 5.748025768600143)",12603
2,2014-11-26 01:40:12,4246.0,"(45.18629092064239, 5.747975584991567)",8342
3,2014-11-26 03:57:29,6773.0,"(45.18632709052771, 5.7482117760236955)",8108
4,2014-11-26 05:52:57,6580.0,"(45.18632202404993, 5.747956394257367)",5433
5,2014-11-26 08:10:24,9670.0,"(45.20996948680363, 5.794540513196471)",682
6,2014-11-26 11:50:27,23597.0,"(45.210027684365784, 5.795045486725666)",452
7,2014-11-26 18:53:54,6067.0,"(45.18626368708942, 5.74813185771196)",11882
8,2014-11-26 20:40:22,8379.0,"(45.18626028572638, 5.748242978352759)",16076
9,2014-11-27 00:52:45,3727.0,"(45.18624195770083, 5.748021443678265)",7250
10,2014-11-27 03:55:17,6121.0,"(45.18633805226361, 5.748113978997716)",9618
11,2014-11-27 07:58:17,7374.0,"(45.21014932000003, 5.794737253333336)",250
12,2014-11-27 12:23:38,4546.0,"(45.21016041342145, 5.794901613223406)",8732
13,2014-11-27 14:07:45,13545.0,"(45.210201265244194, 5.795189784891551)",1968
14,2014-11-27 18:25:23,3612.0,"(45.18706553833546, 5.724095412399477)",7226
15,2014-11-27 22:51:52,5246.0,"(45.186718883374716, 5.724556989247307)",806
16,2014-11-28 00:55:08,4234.0,"(45.18621538568115, 5.7480777372493925)",8444
17,2014-11-28 02:06:08,5115.0,"(45.18632441539317, 5.748166493341189)",10212
18,2014-11-28 03:38:32,12580.0,"(45.18629185026294, 5.747931363097349)",24728
19,2014-11-28 08:09:39,6381.0,"(45.21010661103222, 5.794935267518931)",2816
20,2014-11-28 09:59:40,12596.0,"(45.210131231884, 5.79498874396135)",138
21,2014-11-28 17:27:21,3655.0,"(45.17260406204877, 5.733221112914891)",924
22,2014-11-28 18:28:17,19567.0,"(45.172734821428605, 5.733722202380948)",56
23,2014-11-29 00:42:30,9295.0,"(45.18625678741371, 5.748241035019762)",11346
24,2014-11-29 03:17:46,6920.0,"(45.186329309131025, 5.748313749174911)",3030
25,2014-11-29 05:15:06,5554.0,"(45.18631160174343, 5.747943663078755)",3902
26,2014-11-29 06:49:31,7289.0,"(45.186222256663946, 5.747986450034951)",6678
27,2014-11-29 09:08:28,4301.0,"(45.18624686134854, 5.748062967711259)",1404
28,2014-11-29 10:32:41,26706.0,"(45.186273963149, 5.74810978745904)",19855
29,2014-11-29 18:33:19,14238.0,"(45.19464844423445, 5.72316458727156)",2645
30,2014-11-29 23:11:26,3660.0,"(45.19303655519568, 5.7295430411721995)",3708
31,2014-11-30 01:05:30,4520.0,"(45.18626045014857, 5.748242792658726)",2688
32,2014-11-30 02:21:30,5633.0,"(45.18624255411289, 5.748318477633501)",462
33,2014-11-30 03:55:24,9525.0,"(45.186273455600535, 5.747865393565707)",11832
34,2014-11-30 07:21:03,13433.0,"(45.18629239085999, 5.7480722118150105)",12064
35,2014-11-30 11:07:53,8309.0,"(45.18624647908854, 5.748283240971112)",12848
36,2014-11-30 13:30:08,12425.0,"(45.1862874390748, 5.748163881796125)",17467
37,2014-11-30 16:57:53,6333.0,"(45.18621389383907, 5.747971394162476)",5162
38,2014-11-30 18:50:06,11394.0,"(45.186760764525914, 5.732630038226311)",436
39,2014-11-30 22:03:44,16486.0,"(45.1862518916944, 5.748203113458722)",3881
40,2014-12-01 02:49:21,53905.0,"(45.18632777143297, 5.748299822078825)",4028
41,2014-12-02 07:10:17,3785.0,"(45.354024166666676, 5.565336250000001)",8
42,2014-12-02 08:49:32,5525.0,"(45.78634721159663, 4.879845292475205)",7163
