,Entry_date,DeltaT,Center,Size
0,2015-02-17 15:02:23,7045.0,"(45.783525521628704, 4.872781374045789)",262
1,2015-02-17 17:36:54,4456.0,"(45.765222795014616, 4.891668002519319)",5028
2,2015-02-17 18:51:59,6864.0,"(45.765241413049615, 4.891700085592927)",13163
3,2015-02-18 13:40:40,4413.0,"(45.78172421097425, 4.873026635474321)",2351
4,2015-02-18 16:16:55,8521.0,"(45.76527211076306, 4.891667603312772)",11833
5,2015-02-18 18:38:57,15372.0,"(45.7652168489465, 4.891679772109691)",30658
6,2015-02-18 22:55:43,49916.0,"(45.765279777450075, 4.891712779052918)",93725
7,2015-02-19 12:58:17,8051.0,"(45.78391361231898, 4.872328681159373)",920
8,2015-02-19 15:52:24,4172.0,"(45.7652294046173, 4.891691865665545)",8258
9,2015-02-19 17:01:57,5091.0,"(45.765264379678875, 4.891623762787448)",9710
10,2015-02-19 18:27:19,14034.0,"(45.7652960951874, 4.891664515087589)",25606
11,2015-02-19 23:12:04,3925.0,"(45.76535440831801, 4.891574124194512)",6828
12,2015-02-20 00:18:54,7575.0,"(45.76527017517535, 4.891713348716001)",10618
13,2015-02-20 11:43:53,6809.0,"(45.765262866176556, 4.891675897549033)",13600
14,2015-02-20 13:40:13,3760.0,"(45.76519403868667, 4.891619251402498)",5704
15,2015-02-23 08:42:58,3886.0,"(45.7818751074294, 4.87299618992147)",3863
16,2015-02-23 09:52:50,4083.0,"(45.78189058054563, 4.873088288796272)",7447
17,2015-02-23 13:21:24,3787.0,"(45.781901241108045, 4.8727503506801195)",5342
18,2015-02-23 15:13:28,7661.0,"(45.78364375324423, 4.874591104577065)",14114
19,2015-02-23 17:26:21,5125.0,"(45.78316236566451, 4.8741365940180765)",10186
20,2015-02-23 19:17:54,20163.0,"(45.76526666268173, 4.891694799692769)",33457
21,2015-02-24 00:54:13,21182.0,"(45.76525483327525, 4.891739791636377)",41306
22,2015-02-24 07:58:59,3757.0,"(45.78186626990757, 4.8728493814814575)",7200
23,2015-02-24 09:44:34,4349.0,"(45.78161056840075, 4.874165799614648)",173
24,2015-02-24 15:00:31,7739.0,"(45.783689427736256, 4.872813107769414)",798
25,2015-02-24 17:35:13,19772.0,"(45.765261669086776, 4.891662807152113)",35783
26,2015-02-24 23:06:49,4096.0,"(45.76526034394798, 4.891661896651007)",8102
27,2015-02-25 00:18:24,24121.0,"(45.76524164301868, 4.8916982654045835)",46372
28,2015-02-25 07:13:37,3976.0,"(45.78185548141709, 4.872900070215342)",7928
29,2015-02-25 08:24:09,6080.0,"(45.781818350412074, 4.872952587569486)",4977
30,2015-02-25 10:05:47,3911.0,"(45.78189392554918, 4.8729555518323435)",7759
31,2015-02-25 13:01:27,4186.0,"(45.781768998025484, 4.873086589291456)",7259
32,2015-02-25 16:04:32,3682.0,"(45.765204342125635, 4.891705794570888)",6901
33,2015-02-25 17:05:55,25872.0,"(45.76526601467679, 4.891669632542681)",47171
34,2015-02-26 00:21:50,23592.0,"(45.76522830773638, 4.8917082767374485)",45704
35,2015-02-26 07:06:19,4367.0,"(45.783910461711166, 4.872508345574241)",8714
36,2015-02-26 08:20:36,5442.0,"(45.78400008759058, 4.872392181183375)",10884
37,2015-02-26 09:52:17,4325.0,"(45.78410754345047, 4.872592224135109)",8132
38,2015-02-26 11:18:13,5116.0,"(45.76533085994475, 4.891673536144012)",9582
39,2015-02-26 16:06:07,4375.0,"(45.76522159170514, 4.891713891231268)",8538
40,2015-02-26 17:19:20,14048.0,"(45.765294184472154, 4.891670317090707)",25366
41,2015-02-26 21:27:24,5286.0,"(45.765363597728424, 4.891629407542578)",8220
42,2015-02-26 23:03:32,4648.0,"(45.76526040697608, 4.891694412524723)",8772
43,2015-02-27 12:05:02,16134.0,"(45.783544272125866, 4.872657200165426)",403
44,2015-02-27 18:50:24,4035.0,"(45.765335405104096, 4.891731074909398)",8072
45,2015-02-27 19:57:40,5137.0,"(45.76526394659884, 4.891675313454173)",10262
46,2015-02-27 21:23:55,5008.0,"(45.765296925415235, 4.8916204344291225)",9430
47,2015-02-27 22:47:55,6357.0,"(45.76526529980272, 4.89168319735702)",12208
48,2015-02-28 00:35:42,19671.0,"(45.76525067482609, 4.891703020812349)",39240
49,2015-03-02 13:51:43,3669.0,"(45.78182663461533, 4.872926817765601)",3640
50,2015-03-02 17:01:39,6758.0,"(45.783290354082844, 4.874198137513533)",13269
51,2015-03-02 19:13:21,4949.0,"(45.76516880239752, 4.891726025070692)",9892
52,2015-03-02 20:36:31,6556.0,"(45.76528490691382, 4.8916117781335595)",11244
53,2015-03-02 22:32:44,3656.0,"(45.765281071115936, 4.891624540057518)",5334
54,2015-03-02 23:36:33,4577.0,"(45.76522329657286, 4.8916999445996545)",3219
55,2015-03-03 00:55:49,4971.0,"(45.76525349254843, 4.891704015785421)",9798
56,2015-03-03 02:36:48,5160.0,"(45.765323240010744, 4.891738302773465)",10144
57,2015-03-03 04:03:30,10295.0,"(45.76525455901197, 4.891726730335149)",20235
58,2015-03-03 07:11:36,4318.0,"(45.78188406793583, 4.872950425008235)",6094
59,2015-03-03 09:24:00,3789.0,"(45.78198699385891, 4.873001844175758)",3474
60,2015-03-03 11:57:43,3855.0,"(45.783357345679015, 4.872489087069545)",1026
61,2015-03-03 13:37:03,3624.0,"(45.781801140670574, 4.873010013681979)",6578
62,2015-03-03 15:17:00,13513.0,"(45.76529294702005, 4.89171093871502)",22719
63,2015-03-03 19:22:24,6104.0,"(45.76522831182021, 4.891670791774933)",11931
64,2015-03-03 21:04:09,3847.0,"(45.765343072092996, 4.8916106458552395)",7592
65,2015-03-03 22:08:17,8524.0,"(45.76518435491293, 4.891670715083586)",15215
66,2015-03-04 00:31:36,8739.0,"(45.76521818534482, 4.891691205740132)",17096
67,2015-03-04 07:26:01,3838.0,"(45.78183344817134, 4.87294874735572)",6618
68,2015-03-04 08:54:57,3687.0,"(45.783364660438636, 4.873132440986693)",7230
69,2015-03-04 09:56:25,9954.0,"(45.78343664824699, 4.8731143813829)",19910
70,2015-03-04 14:00:43,3601.0,"(45.78186144859339, 4.87297124468738)",6588
71,2015-03-04 15:40:56,4129.0,"(45.76520108758333, 4.8916850044735405)",6706
72,2015-03-04 16:49:46,24091.0,"(45.765265567497316, 4.891715427454809)",2047
73,2015-03-04 23:31:18,5194.0,"(45.76509400963382, 4.891727173410389)",1730
74,2015-03-05 00:57:53,11413.0,"(45.76527720923196, 4.891686375580278)",15654
75,2015-03-09 07:45:40,4002.0,"(45.781883336831314, 4.872980727964191)",7624
76,2015-03-09 08:58:27,7638.0,"(45.78187025571168, 4.87294220430111)",12462
77,2015-03-09 15:11:03,4648.0,"(45.783594560158, 4.872979833530658)",8450
78,2015-03-09 16:53:03,5610.0,"(45.783179987967436, 4.874302856197377)",11080
79,2015-03-09 19:13:23,7395.0,"(45.765245968640215, 4.891664905224459)",13488
80,2015-03-09 21:16:39,34575.0,"(45.76523852851041, 4.891690848451466)",67580
81,2015-03-10 07:11:03,7912.0,"(45.78189220341306, 4.872917195184167)",14383
82,2015-03-10 09:23:55,5985.0,"(45.781896540154655, 4.87286661892383)",10368
83,2015-03-10 13:03:41,3691.0,"(45.78189710432787, 4.872941289313505)",5914
84,2015-03-10 15:18:08,6272.0,"(45.765253567891726, 4.891682854933112)",11852
85,2015-03-10 17:17:07,10330.0,"(45.7652830366359, 4.891702929574084)",20144
86,2015-03-10 20:09:18,10737.0,"(45.76528331449327, 4.891643445700434)",19994
87,2015-03-10 23:08:59,26798.0,"(45.765258904594525, 4.891722155840202)",41887
